variant,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC,28,896,896,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",S2R,32,1024,1024,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDCU.64,20,640,640,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDCU,24,768,768,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UIADD3,20,640,640,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD,40,1280,1280,1
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.AND,28,896,896,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",EXIT,20,640,512,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ULOP3.LUT,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC.64,12,384,384,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UIMAD,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.WIDE,28,896,895,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UMOV,8,256,256,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MOV,16,512,512,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDG.E,798800,25443900,25443899,226
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD,36,1152,896,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IABS,12,384,384,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",I2F.RP,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MUFU.RCP,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",F2I.FTZ.U32.TRUNC.NTZ,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",HFMA2,8,256,256,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.HI.U32,8,256,256,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GT.U32.AND,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.U32.AND,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LOP3.LUT,8,256,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.NE.AND,8,256,256,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD3,399394,12721758,12721758,5181
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSSY.RECONVERGENT,12,384,384,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BRA,199719,6361583,6360943,57
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSSY.RELIABLE,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD.64,399394,12721758,12721758,68
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GT.S64.AND,199707,6361199,6361199,67
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",PLOP3.LUT,8,256,256,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSYNC.RECONVERGENT,118,384,384,66
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.NE.S64.OR,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BREAK.RELIABLE,4,128,128,0
A,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",STG.E,4,128,128,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC,8192,262144,262144,2
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDCU.64,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC.64,8320,262272,262272,2
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UMOV,8192,135168,135168,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MOV,6528,208896,204800,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDG.E,805399,25770940,25770428,105
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.WIDE,803479,25705532,25705020,82
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",S2UR,4096,67584,67584,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD,16512,528384,526336,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD,1623854,51955704,51822584,4196
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IABS,6144,196608,196608,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",I2F.RP,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MUFU.RCP,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",F2I.FTZ.U32.TRUNC.NTZ,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",HFMA2,4096,131072,131072,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LOP3.LUT,10240,264192,198656,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.HI.U32,4096,131072,131072,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GT.U32.AND,4224,135168,135168,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.AND,799255,25574332,25574332,73
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.U32.AND,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.LE.AND,2048,65536,65536,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.NE.AND,4096,131072,131072,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSSY.RECONVERGENT,4096,131072,131072,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",S2R,2176,69632,67584,0
B,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BRA,799255,25574332,25441212,132
