variant,metric,unit,value
A,dram__bytes_op_read.sum,byte,321280
A,dram__bytes_op_read.sum.pct_of_peak_sustained_elapsed,%,0.00
A,dram__bytes_op_read.sum.per_second,byte/s,30907714.00
A,dram__bytes_op_write.sum,byte,434688
A,dram__bytes_op_write.sum.pct_of_peak_sustained_elapsed,%,0.00
A,dram__bytes_op_write.sum.per_second,byte/s,41817767.63
A,dram__cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.00
A,dram__cycles_active.max.pct_of_peak_sustained_elapsed,%,0.01
A,dram__cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
A,dram__cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.00
A,dram__cycles_elapsed.avg.per_second,hz,12469477093.20
A,dram__cycles_elapsed.max.per_second,hz,12469575603.84
A,dram__cycles_elapsed.min.per_second,hz,12469378582.55
A,dram__cycles_elapsed.sum.per_second,hz,199511633491.16
A,dram__sectors_op_read.sum,sector,10040
A,dram__sectors_op_write.sum,sector,13584
A,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0.24
A,gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0.25
A,gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0.24
A,gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0.24
A,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0.01
A,gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0.01
A,gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0.01
A,gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0.01
A,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,0.31
A,gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed,%,59.01
A,gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed,%,0.24
A,gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed,%,0.31
A,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__dram_throughput.max.pct_of_peak_sustained_elapsed,%,0.01
A,gpu__dram_throughput.min.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__dram_throughput.sum.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__time_duration.avg,ns,10394816
A,gpu__time_duration.max,ns,10394816
A,gpu__time_duration.min,ns,10394816
A,gpu__time_duration.sum,ns,10394816
A,l1tex__cycles_active.avg,cycle,122182.12
A,l1tex__cycles_active.max,cycle,22970238
A,l1tex__cycles_active.min,cycle,0
A,l1tex__cycles_active.sum,cycle,22970238
A,l1tex__cycles_elapsed.avg,cycle,24062968.22
A,l1tex__cycles_elapsed.max,cycle,24107109
A,l1tex__cycles_elapsed.min,cycle,23964286
A,l1tex__cycles_elapsed.sum,cycle,4523838026
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,0
A,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,0.01
A,l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,%,1.65
A,l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,%,0.01
A,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,0.01
A,l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,%,1.66
A,l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,%,0.01
A,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0.31
A,l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,%,59.01
A,l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0.31
A,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,16
A,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0.17
A,l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed,%,31.87
A,l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,%,0.17
A,l1tex__lsu_writeback_active_mem_lgds.sum,cycle,7667588
A,l1tex__lsu_writeback_active_mem_lgds.sum.pct_of_peak_sustained_elapsed,%,0.17
A,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,%,0.04
A,l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed,%,6.64
A,l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,%,0.04
A,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.07
A,l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,13.25
A,l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.07
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
