q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,0,AB,A,0,stage.aggregate,1,0.008697395,0.008697109,0.780276576958224
32,300,0,AB,A,0,stage.alloc_init,1,0.000661553,0.000661272,0.059350450372375185
32,300,0,AB,A,0,stage.candidates,1,8.1879e-05,8.1605e-05,0.007345678314571482
32,300,0,AB,A,0,stage.cleanup,1,0.00023161,0.00023132,0.02077861911403291
32,300,0,AB,A,0,stage.delivery,1,2.2439e-05,2.2152e-05,0.002013088529423533
32,300,0,AB,A,0,stage.leaf_distance,1,0.00098304,0.000982593,0.08819227897698248
32,300,0,AB,A,0,stage.node_distance_prune,4,0.000341028,0.000339755,0.030594926467857244
32,300,0,AB,A,0,stage.schedule,10,0.00012198,0.000119354,0.010943292429211755
32,300,0,AB,A,1,stage.aggregate,1,0.008693823,0.008693545,0.78123339261147
32,300,0,AB,A,1,stage.alloc_init,1,0.000652594,0.000652271,0.05864258159130795
32,300,0,AB,A,1,stage.candidates,1,8.1124e-05,8.0853e-05,0.0072898628994647
32,300,0,AB,A,1,stage.cleanup,1,0.000229249,0.000228931,0.020600485427732643
32,300,0,AB,A,1,stage.delivery,1,2.1668e-05,2.1378e-05,0.0019471025751393064
32,300,0,AB,A,1,stage.leaf_distance,1,0.000982461,0.000982041,0.08828467523878246
32,300,0,AB,A,1,stage.node_distance_prune,4,0.000342696,0.000341384,0.030794917116943873
32,300,0,AB,A,1,stage.schedule,10,0.000120908,0.000118148,0.010864882691293303
32,300,0,AB,A,2,stage.aggregate,1,0.008699519,0.008699426,0.7815850360775342
32,300,0,AB,A,2,stage.alloc_init,1,0.000658962,0.000658505,0.05920267988882192
32,300,0,AB,A,2,stage.candidates,1,7.9181e-05,7.8897e-05,0.007113805342761507
32,300,0,AB,A,2,stage.cleanup,1,0.000223984,0.000223693,0.020123243908173594
32,300,0,AB,A,2,stage.delivery,1,2.0948e-05,2.0677e-05,0.0018820170788467947
32,300,0,AB,A,2,stage.leaf_distance,1,0.000985885,0.000985474,0.08857420315919763
32,300,0,AB,A,2,stage.node_distance_prune,4,0.000338208,0.000337106,0.03038539393749364
32,300,0,AB,A,2,stage.schedule,10,0.000120573,0.000117926,0.010832558967337912
32,300,0,AB,A,3,stage.aggregate,1,0.008699566,0.008699312,0.780629620862479
32,300,0,AB,A,3,stage.alloc_init,1,0.000660083,0.000659627,0.059230580241332466
32,300,0,AB,A,3,stage.candidates,1,7.5763e-05,7.5494e-05,0.006798366949041366
32,300,0,AB,A,3,stage.cleanup,1,0.000227708,0.000227433,0.020432698563049394
32,300,0,AB,A,3,stage.delivery,1,2.3214e-05,2.2922e-05,0.002083039087087975
32,300,0,AB,A,3,stage.leaf_distance,1,0.0009903,0.000989885,0.08886161833131824
32,300,0,AB,A,3,stage.node_distance_prune,4,0.000344351,0.000343223,0.030899310445327448
32,300,0,AB,A,3,stage.schedule,10,0.000119923,0.000117309,0.010760932904318567
32,300,0,AB,A,4,stage.aggregate,1,0.008696943,0.008696697,0.7814929011458467
32,300,0,AB,A,4,stage.alloc_init,1,0.000657487,0.000657004,0.059080693422468016
32,300,0,AB,A,4,stage.candidates,1,7.7742e-05,7.746e-05,0.0069857674266555975
32,300,0,AB,A,4,stage.cleanup,1,0.000225149,0.000224858,0.020231516430553383
32,300,0,AB,A,4,stage.delivery,1,2.1442e-05,2.1151e-05,0.0019267426251234764
32,300,0,AB,A,4,stage.leaf_distance,1,0.000984974,0.000984557,0.0885081331236998
32,300,0,AB,A,4,stage.node_distance_prune,4,0.000340039,0.000338914,0.03055534164277408
32,300,0,AB,A,4,stage.schedule,10,0.000121433,0.000118785,0.010911768361002664
32,300,0,AB,A,5,stage.aggregate,1,0.008695703,0.008695401,0.7812355298936114
32,300,0,AB,A,5,stage.alloc_init,1,0.000664785,0.000664433,0.05972532200563019
32,300,0,AB,A,5,stage.candidates,1,7.6579e-05,7.6309e-05,0.006879976885563233
32,300,0,AB,A,5,stage.cleanup,1,0.000225213,0.00022493,0.020233487435567875
32,300,0,AB,A,5,stage.delivery,1,2.3045e-05,2.2597e-05,0.002070398768954997
32,300,0,AB,A,5,stage.leaf_distance,1,0.000981006,0.000980579,0.08813511020774423
32,300,0,AB,A,5,stage.node_distance_prune,4,0.000340904,0.000339756,0.030627347447682113
32,300,0,AB,A,5,stage.schedule,10,0.000119814,0.000116978,0.010764276767349708
32,300,0,AB,A,6,stage.aggregate,1,0.008706061,0.008705888,0.7808606879311139
32,300,0,AB,A,6,stage.alloc_init,1,0.000660882,0.000660605,0.05927557516094712
32,300,0,AB,A,6,stage.candidates,1,7.9178e-05,7.8833e-05,0.007101602843008996
32,300,0,AB,A,6,stage.cleanup,1,0.000234167,0.000233819,0.0210028168549204
32,300,0,AB,A,6,stage.delivery,1,2.1758e-05,2.1482e-05,0.0019515102005378986
32,300,0,AB,A,6,stage.leaf_distance,1,0.000980686,0.00098035,0.08795931301244184
32,300,0,AB,A,6,stage.node_distance_prune,4,0.000344416,0.000343115,0.03089122792666885
32,300,0,AB,A,6,stage.schedule,10,0.000118757,0.000116042,0.010651507348344481
32,300,0,AB,A,7,stage.aggregate,1,0.008704562,0.008704273,0.7813343870134524
32,300,0,AB,A,7,stage.alloc_init,1,0.000658892,0.000658566,0.0591431225290908
32,300,0,AB,A,7,stage.candidates,1,7.6932e-05,7.6657e-05,0.006905530348536654
32,300,0,AB,A,7,stage.cleanup,1,0.000229533,0.000229257,0.02060322229359257
32,300,0,AB,A,7,stage.delivery,1,2.0903e-05,2.0622e-05,0.0018762842624065626
32,300,0,AB,A,7,stage.leaf_distance,1,0.000987851,0.000987408,0.08867096995180526
32,300,0,AB,A,7,stage.node_distance_prune,4,0.000341638,0.000340391,0.03066593325551611
32,300,0,AB,A,7,stage.schedule,10,0.000116944,0.000114273,0.010497066774284698
