variant,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
A,__cuda_sm20_div_rn_f64_full,MOV,1664,1664,1408,0
A,__cuda_sm20_div_rn_f64_full,FSETP.GEU.AND,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,LOP3.LUT,1536,1536,1280,2
A,__cuda_sm20_div_rn_f64_full,BSSY.RECONVERGENT,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,ISETP.GE.U32.AND,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,DMUL,256,256,128,2
A,__cuda_sm20_div_rn_f64_full,MUFU.RCP64H,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,SEL,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,IADD,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,NOP,4352,4352,4352,3
A,__cuda_sm20_div_rn_f64_full,DFMA,1024,1024,1024,0
A,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.AND,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.OR,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,BRA,640,640,256,2
A,__cuda_sm20_div_rn_f64_full,DSETP.NAN.AND,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,ISETP.NE.AND,256,256,256,0
A,__cuda_sm20_div_rn_f64_full,MOV.64,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,ISETP.EQ.OR,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,BSYNC.RECONVERGENT,128,128,128,0
A,__cuda_sm20_div_rn_f64_full,RET.ABS.NODEC,128,128,128,0
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDC,62888916,1951495366,1951495366,7220
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDCU.64,19729856,631355392,631355392,159
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IADD,249089432,6014850904,4604166200,25576
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",UMOV,44392176,1361360064,1361360064,423
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MOV,115913416,3452376898,3452376898,7619
