q,k,pair,order,variant,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
32,10,0,AB,A,0,0.01090593,0.010908164,0.010907346,1.0698999999999431e-05
32,10,0,AB,A,1,0.01090396,0.010905326,0.010939702,8.828000000000655e-06
32,10,0,AB,A,2,0.010840312,0.010841593,0.010840921,9.020000000000208e-06
32,10,0,AB,A,3,0.011180401,0.011181619,0.011180943,8.137000000000075e-06
32,10,0,AB,A,4,0.010975334,0.010976539,0.010975875,7.669000000000079e-06
32,10,0,AB,A,5,0.010823155,0.010824322,0.010823727,7.6539999999993e-06
32,10,0,AB,A,6,0.010732242,0.010733545,0.010732808,8.783999999999528e-06
32,10,0,AB,A,7,0.011577056,0.011578334,0.011577623,7.969999999999505e-06
32,10,0,AB,B,0,0.011727284,0.011729579,0.011750074,1.0676999999998868e-05
32,10,0,AB,B,1,0.015153433,0.015047274,0.015046457,8.94599999999926e-06
32,10,0,AB,B,2,0.011601508,0.01091183,0.010910994,9.985000000000549e-06
32,10,0,AB,B,3,0.011727994,0.011729242,0.011728575,8.499999999999827e-06
32,10,0,AB,B,4,0.012055666,0.012056939,0.012056231,7.774999999999796e-06
32,10,0,AB,B,5,0.011553531,0.011554766,0.011554102,8.093000000000683e-06
32,10,0,AB,B,6,0.011604789,0.011606133,0.011605336,7.395000000000318e-06
32,10,0,AB,B,7,0.011275711,0.01127719,0.011288096,7.06000000000144e-06
32,10,1,BA,B,0,0.01143324,0.011435554,0.01143456,1.1829000000001394e-05
32,10,1,BA,B,1,0.011954943,0.011956302,0.011967183,9.558000000001524e-06
32,10,1,BA,B,2,0.011948669,0.011949898,0.01197032,8.756999999999862e-06
32,10,1,BA,B,3,0.011965294,0.011966463,0.011965837,8.062999999999126e-06
32,10,1,BA,B,4,0.011957115,0.011958425,0.01195774,8.450999999999598e-06
32,10,1,BA,B,5,0.011837798,0.011839009,0.011838361,8.693000000000589e-06
32,10,1,BA,B,6,0.011650506,0.011651722,0.011651086,8.51499999999887e-06
32,10,1,BA,B,7,0.011291133,0.011292259,0.011291677,8.25099999999905e-06
32,10,1,BA,A,0,0.010868079,0.010870286,0.010903217,1.117199999999853e-05
32,10,1,BA,A,1,0.010821257,0.010822569,0.010821772,8.810000000001456e-06
32,10,1,BA,A,2,0.011058744,0.011060076,0.011059305,8.372000000001281e-06
32,10,1,BA,A,3,0.011139881,0.011141087,0.011140446,8.295000000000177e-06
32,10,1,BA,A,4,0.010892122,0.010893293,0.01089265,7.992000000000068e-06
32,10,1,BA,A,5,0.010748021,0.010749189,0.010748552,7.64399999999936e-06
32,10,1,BA,A,6,0.010929597,0.010930837,0.010930133,6.905999999999232e-06
32,10,1,BA,A,7,0.011540765,0.011541974,0.011541311,8.133999999999919e-06
32,10,2,AB,A,0,0.01092933,0.010931463,0.010930353,1.082499999999903e-05
32,10,2,AB,A,1,0.010808021,0.010809394,0.010831682,9.80099999999852e-06
32,10,2,AB,A,2,0.01117521,0.011176523,0.011175813,8.153000000000327e-06
32,10,2,AB,A,3,0.010830291,0.010831523,0.010830849,7.649999999999671e-06
32,10,2,AB,A,4,0.011157488,0.011158683,0.011158035,7.2619999999992e-06
32,10,2,AB,A,5,0.010885917,0.010887031,0.010886451,6.903000000000811e-06
32,10,2,AB,A,6,0.010760334,0.010761588,0.010760909,8.52200000000039e-06
32,10,2,AB,A,7,0.010985376,0.0109866,0.010985932,7.182999999999148e-06
32,10,2,AB,B,0,0.011450269,0.011452529,0.011451522,1.0945000000000052e-05
32,10,2,AB,B,1,0.011389013,0.011390387,0.011402413,8.852000000000165e-06
32,10,2,AB,B,2,0.012059258,0.012060637,0.012081537,8.513999999999397e-06
32,10,2,AB,B,3,0.011669601,0.011666583,0.011665949,7.676999999999337e-06
32,10,2,AB,B,4,0.011724077,0.01172526,0.011724642,7.083999999999216e-06
32,10,2,AB,B,5,0.011496683,0.011497935,0.01149725,7.294000000001438e-06
32,10,2,AB,B,6,0.011477983,0.011252349,0.011251536,8.85899999999995e-06
32,10,2,AB,B,7,0.0114608,0.011462102,0.011461401,8.123999999999978e-06
32,10,3,BA,B,0,0.011490436,0.011492726,0.011514631,1.0190999999999673e-05
32,10,3,BA,B,1,0.011388763,0.01139002,0.011389346,9.001999999999274e-06
32,10,3,BA,B,2,0.01193635,0.011937677,0.011936978,8.83500000000044e-06
32,10,3,BA,B,3,0.011956156,0.011957416,0.011956751,7.6120000000005905e-06
32,10,3,BA,B,4,0.01195146,0.011952709,0.011952014,7.106999999999253e-06
32,10,3,BA,B,5,0.011871908,0.011873104,0.01187244,6.701000000001317e-06
32,10,3,BA,B,6,0.011747156,0.011748504,0.011747754,8.964000000000194e-06
32,10,3,BA,B,7,0.011474895,0.011476243,0.011486633,7.593000000000183e-06
32,10,3,BA,A,0,0.010771414,0.01077357,0.010772709,1.0536000000000226e-05
32,10,3,BA,A,1,0.01094758,0.010948873,0.010959908,8.82100000000087e-06
32,10,3,BA,A,2,0.010941006,0.01094232,0.01096338,9.40099999999916e-06
32,10,3,BA,A,3,0.011516463,0.011517641,0.011516992,7.972000000000187e-06
32,10,3,BA,A,4,0.011028794,0.011029933,0.011029322,7.79599999999915e-06
32,10,3,BA,A,5,0.011043513,0.011044673,0.011044046,7.408999999999888e-06
32,10,3,BA,A,6,0.011066172,0.011067449,0.011066754,8.695000000001271e-06
32,10,3,BA,A,7,0.011236145,0.01123729,0.011236659,7.79599999999915e-06
32,10,4,AB,A,0,0.01139846,0.011400767,0.011412498,1.0441999999999396e-05
