variant,metric,unit,value
A,dram__bytes_op_read.sum,byte,54966016
A,dram__bytes_op_read.sum.pct_of_peak_sustained_elapsed,%,0.23
A,dram__bytes_op_read.sum.per_second,byte/s,3688899292.80
A,dram__bytes_op_write.sum,byte,606643968
A,dram__bytes_op_write.sum.pct_of_peak_sustained_elapsed,%,2.55
A,dram__bytes_op_write.sum.per_second,byte/s,40713311012.66
A,dram__cycles_active.avg.pct_of_peak_sustained_elapsed,%,2.78
A,dram__cycles_active.max.pct_of_peak_sustained_elapsed,%,2.79
A,dram__cycles_active.min.pct_of_peak_sustained_elapsed,%,2.78
A,dram__cycles_active.sum.pct_of_peak_sustained_elapsed,%,2.78
A,dram__cycles_elapsed.avg.per_second,hz,12469494477.46
A,dram__cycles_elapsed.max.per_second,hz,12469524543.80
A,dram__cycles_elapsed.min.per_second,hz,12469455820.74
A,dram__cycles_elapsed.sum.per_second,hz,199511911639.32
A,dram__sectors_op_read.sum,sector,1717688
A,dram__sectors_op_write.sum,sector,18957624
A,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,7.35
A,gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,7.39
A,gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,7.30
A,gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,7.35
A,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed,%,0.00
A,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,20.16
A,gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed,%,20.32
A,gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed,%,20.02
