q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,A,0,stage.aggregate,1,1.5595e-05,1.532e-05,0.0014455268567674293
32,10,0,AB,A,0,stage.alloc_init,1,0.002116309,0.002115931,0.196164251152204
32,10,0,AB,A,0,stage.candidates,1,0.000102351,0.000102043,0.009487086843026814
32,10,0,AB,A,0,stage.cleanup,1,0.001431905,0.001431525,0.13272568989032166
32,10,0,AB,A,0,stage.delivery,1,4.1902e-05,4.1614e-05,0.003883967063306754
32,10,0,AB,A,0,stage.leaf_distance,1,0.003508197,0.003507814,0.32518069780897246
32,10,0,AB,A,0,stage.node_plan,4,0.000101969,0.000100633,0.009451678618641745
32,10,0,AB,A,0,stage.node_prune,4,5.448e-05,5.3354e-05,0.005049843100781632
32,10,0,AB,A,0,stage.output_alloc,1,5.962e-06,5.666e-06,0.0005526278371303247
32,10,0,AB,A,0,stage.pivot_distance,2,0.000100166,9.9636e-05,0.009284555507211693
32,10,0,AB,A,0,stage.pivot_sort,2,0.000201953,0.000201359,0.01871936423884275
32,10,0,AB,A,0,stage.result_sort,1,0.002951039,0.002950762,0.27353678293479305
32,10,0,AB,A,0,stage.schedule,10,0.000125851,0.000123184,0.01166534148451669
32,10,0,AB,A,0,stage.threshold,2,1.9986e-05,1.9424e-05,0.0018525360538219843
32,10,0,AB,A,1,stage.aggregate,1,1.6247e-05,1.5986e-05,0.0014704423617728066
32,10,0,AB,A,1,stage.alloc_init,1,0.00211221,0.002111826,0.19116655757740755
32,10,0,AB,A,1,stage.candidates,1,9.983e-05,9.9529e-05,0.009035161012850328
32,10,0,AB,A,1,stage.cleanup,1,0.001464794,0.001464434,0.13257186858316222
32,10,0,AB,A,1,stage.delivery,1,3.8112e-05,3.7808e-05,0.0034493444507838495
32,10,0,AB,A,1,stage.leaf_distance,1,0.00350882,0.003508471,0.3175674012331913
32,10,0,AB,A,1,stage.node_plan,4,9.5572e-05,9.4419e-05,0.008649788724032171
32,10,0,AB,A,1,stage.node_prune,4,5.4034e-05,5.2924e-05,0.004890372534993035
32,10,0,AB,A,1,stage.output_alloc,1,5.518e-06,5.214e-06,0.0004994091802955836
32,10,0,AB,A,1,stage.pivot_distance,2,0.000104673,0.000104136,0.009473479001283007
32,10,0,AB,A,1,stage.pivot_sort,2,0.000205075,0.000204481,0.01856040914264531
32,10,0,AB,A,1,stage.result_sort,1,0.003184499,0.003184138,0.2882145768833102
32,10,0,AB,A,1,stage.schedule,10,0.000128837,0.000126121,0.011660453164505638
32,10,0,AB,A,1,stage.threshold,2,2.1328e-05,2.0692e-05,0.0019303006519289974
32,10,0,AB,A,2,stage.aggregate,1,1.6801e-05,1.6536e-05,0.0015183940684935717
32,10,0,AB,A,2,stage.alloc_init,1,0.002116197,0.002115804,0.19125176909492833
32,10,0,AB,A,2,stage.candidates,1,9.9482e-05,9.9186e-05,0.008990707619896284
32,10,0,AB,A,2,stage.cleanup,1,0.00145326,0.001452788,0.13133869198136824
32,10,0,AB,A,2,stage.delivery,1,4.1199e-05,4.0914e-05,0.0037233686820943193
32,10,0,AB,A,2,stage.leaf_distance,1,0.003510557,0.003510091,0.3172673606278547
32,10,0,AB,A,2,stage.node_plan,4,9.5435e-05,9.43e-05,0.008624959105213022
32,10,0,AB,A,2,stage.node_prune,4,5.5277e-05,5.4189e-05,0.004995671026969773
32,10,0,AB,A,2,stage.output_alloc,1,5.193e-06,4.894e-06,0.0004693185166172917
32,10,0,AB,A,2,stage.pivot_distance,2,0.000101534,0.000100994,0.00917615757100329
32,10,0,AB,A,2,stage.pivot_sort,2,0.000199561,0.000198809,0.01803536924603569
32,10,0,AB,A,2,stage.result_sort,1,0.003217511,0.003217155,0.2907832639552896
32,10,0,AB,A,2,stage.schedule,10,0.000124268,0.000121565,0.011230747818794068
32,10,0,AB,A,2,stage.threshold,2,2.0172e-05,1.9614e-05,0.0018230489345665332
32,10,0,AB,A,3,stage.aggregate,1,1.5824e-05,1.5547e-05,0.0014172694062192905
32,10,0,AB,A,3,stage.alloc_init,1,0.002116734,0.002116341,0.18958432376795903
32,10,0,AB,A,3,stage.candidates,1,0.000100142,9.9872e-05,0.008969172957381965
32,10,0,AB,A,3,stage.cleanup,1,0.001527717,0.001527339,0.13682928244825052
32,10,0,AB,A,3,stage.delivery,1,4.178e-05,4.1488e-05,0.0037420068119212568
32,10,0,AB,A,3,stage.leaf_distance,1,0.003509078,0.003508741,0.31428898467120675
32,10,0,AB,A,3,stage.node_plan,4,9.4918e-05,9.3788e-05,0.008501287759069933
32,10,0,AB,A,3,stage.node_prune,4,5.5149e-05,5.4046e-05,0.004939395253007309
32,10,0,AB,A,3,stage.output_alloc,1,4.863e-06,4.564e-06,0.0004355523965144344
32,10,0,AB,A,3,stage.pivot_distance,2,0.000103244,0.000102631,0.009247002185016711
32,10,0,AB,A,3,stage.pivot_sort,2,0.000204793,0.000204162,0.018342192461316176
32,10,0,AB,A,3,stage.result_sort,1,0.003239477,0.003239037,0.2901422929885648
32,10,0,AB,A,3,stage.schedule,10,0.000124089,0.000121369,0.011113975186321129
32,10,0,AB,A,3,stage.threshold,2,1.9701e-05,1.9164e-05,0.0017645111584887667
32,10,0,AB,A,4,stage.aggregate,1,1.4893e-05,1.46e-05,0.001378186472062875
32,10,0,AB,A,4,stage.alloc_init,1,0.002120287,0.002119905,0.1962096864493908
32,10,0,AB,A,4,stage.candidates,1,0.000102394,0.000102111,0.009475459989283959
32,10,0,AB,A,4,stage.cleanup,1,0.001456771,0.001456385,0.13480843920590252
32,10,0,AB,A,4,stage.delivery,1,4.11e-05,4.0791e-05,0.0038033615793852255
32,10,0,AB,A,4,stage.leaf_distance,1,0.003507228,0.003506882,0.32455611253878547
32,10,0,AB,A,4,stage.node_plan,4,9.4393e-05,9.3259e-05,0.008735053760654733
32,10,0,AB,A,4,stage.node_prune,4,5.3198e-05,5.2125e-05,0.0049229009562076695
32,10,0,AB,A,4,stage.output_alloc,1,4.443e-06,4.163e-06,0.00041115171526054877
32,10,0,AB,A,4,stage.pivot_distance,2,0.000101249,0.000100705,0.009369502592486001
32,10,0,AB,A,4,stage.pivot_sort,2,0.000200252,0.000199437,0.018531162116667884
32,10,0,AB,A,4,stage.result_sort,1,0.002957219,0.002956915,0.27365871353839405
32,10,0,AB,A,4,stage.schedule,10,0.000124649,0.000121896,0.011534920134033793
32,10,0,AB,A,4,stage.threshold,2,2.0973e-05,2.0399e-05,0.0019408248760205919
32,10,0,AB,A,5,stage.aggregate,1,1.6195e-05,1.5921e-05,0.0015119422431528013
32,10,0,AB,A,5,stage.alloc_init,1,0.002119006,0.002118633,0.19782739641211763
32,10,0,AB,A,5,stage.candidates,1,9.9778e-05,9.9503e-05,0.009315132642006806
32,10,0,AB,A,5,stage.cleanup,1,0.001350669,0.001350314,0.12609654323043848
32,10,0,AB,A,5,stage.delivery,1,4.0462e-05,4.0172e-05,0.003777474964028938
32,10,0,AB,A,5,stage.leaf_distance,1,0.00351044,0.003510101,0.32772970225707443
32,10,0,AB,A,5,stage.node_plan,4,9.5115e-05,9.3972e-05,0.008879801571934468
32,10,0,AB,A,5,stage.node_prune,4,5.5369e-05,5.4281e-05,0.005169171352956311
32,10,0,AB,A,5,stage.output_alloc,1,4.481e-06,4.182e-06,0.0004183398080622231
32,10,0,AB,A,5,stage.pivot_distance,2,0.000116993,7.719e-05,0.010922300639282229
32,10,0,AB,A,5,stage.pivot_sort,2,0.000204818,0.000204225,0.019121518144987373
32,10,0,AB,A,5,stage.result_sort,1,0.002947563,0.002947296,0.2751803034303304
32,10,0,AB,A,5,stage.schedule,10,0.000123898,0.000121204,0.011566941651259387
32,10,0,AB,A,5,stage.threshold,2,1.8595e-05,1.8047e-05,0.0017360028410883818
32,10,0,AB,A,6,stage.aggregate,1,1.6393e-05,1.612e-05,0.0014271988421519649
32,10,0,AB,A,6,stage.alloc_init,1,0.002100595,0.002100218,0.18288090964620304
32,10,0,AB,A,6,stage.candidates,1,0.000102078,0.000101719,0.008887061758627968
32,10,0,AB,A,6,stage.cleanup,1,0.001966923,0.001966551,0.1712432274874684
32,10,0,AB,A,6,stage.delivery,1,3.9426e-05,3.9027e-05,0.0034324859117113014
32,10,0,AB,A,6,stage.leaf_distance,1,0.003508917,0.003508619,0.3054915073267459
32,10,0,AB,A,6,stage.node_plan,4,9.6172e-05,9.5052e-05,0.008372876657563519
32,10,0,AB,A,6,stage.node_prune,4,5.392e-05,5.2843e-05,0.004694355003283959
32,10,0,AB,A,6,stage.output_alloc,1,5.061e-06,4.769e-06,0.0004406181504380586
32,10,0,AB,A,6,stage.pivot_distance,2,0.000100478,9.9926e-05,0.008747763390577997
32,10,0,AB,A,6,stage.pivot_sort,2,0.000201017,0.000200418,0.017500837531437902
32,10,0,AB,A,6,stage.result_sort,1,0.003141343,0.003140982,0.27348997086574633
32,10,0,AB,A,6,stage.schedule,10,0.000125092,0.000122397,0.010890694660066709
32,10,0,AB,A,6,stage.threshold,2,2.1231e-05,2.0665e-05,0.0018484022825430591
32,10,0,AB,A,7,stage.aggregate,1,1.5856e-05,1.5594e-05,0.0014570725082874672
32,10,0,AB,A,7,stage.alloc_init,1,0.002117188,0.002116947,0.19455704021670828
32,10,0,AB,A,7,stage.candidates,1,0.000100533,0.000100256,0.00923838739125025
32,10,0,AB,A,7,stage.cleanup,1,0.001517913,0.001517532,0.13948721633906122
32,10,0,AB,A,7,stage.delivery,1,4.0766e-05,4.048e-05,0.003746154003080657
32,10,0,AB,A,7,stage.leaf_distance,1,0.003516697,0.003516392,0.3231636300881062
32,10,0,AB,A,7,stage.node_plan,4,8.0702e-05,7.9571e-05,0.007416035921027699
32,10,0,AB,A,7,stage.node_prune,4,4.7946e-05,4.6869e-05,0.004405953486525663
32,10,0,AB,A,7,stage.output_alloc,1,4.233e-06,3.948e-06,0.000388987634181436
32,10,0,AB,A,7,stage.pivot_distance,2,0.00010199,0.000101248,0.00937227706358721
32,10,0,AB,A,7,stage.pivot_sort,2,0.000198245,0.000197649,0.018217541587124682
32,10,0,AB,A,7,stage.result_sort,1,0.003005136,0.003004818,0.27615420340974817
32,10,0,AB,A,7,stage.schedule,10,0.000111861,0.000109158,0.010279363512206383
32,10,0,AB,A,7,stage.threshold,2,1.6137e-05,1.5597e-05,0.0014828947443387276
32,10,0,AB,B,0,stage.aggregate,1,1.6197e-05,1.5929e-05,0.0014990595823660912
32,10,0,AB,B,0,stage.alloc_init,1,0.002119939,0.002119556,0.19620391874924917
32,10,0,AB,B,0,stage.candidates,1,9.7111e-05,9.6825e-05,0.008987786324822713
32,10,0,AB,B,0,stage.cleanup,1,0.001444015,0.001443677,0.13364601610362237
32,10,0,AB,B,0,stage.delivery,1,4.1449e-05,4.1155e-05,0.0038361746390993467
32,10,0,AB,B,0,stage.leaf_distance,1,0.004199459,0.004199046,0.38866699109116026
32,10,0,AB,B,0,stage.node_plan,4,9.588e-05,9.4727e-05,0.008873855205115813
32,10,0,AB,B,0,stage.node_prune,4,5.2252e-05,5.1135e-05,0.004836010452416682
32,10,0,AB,B,0,stage.output_alloc,1,5.087e-06,4.799e-06,0.00047081040288302187
32,10,0,AB,B,0,stage.pivot_distance,2,0.000101472,0.000100908,0.009391404207066247
32,10,0,AB,B,0,stage.pivot_sort,2,0.000203811,0.000203154,0.018863050721838328
32,10,0,AB,B,0,stage.result_sort,1,0.002271771,0.002271518,0.21025622562767163
32,10,0,AB,B,0,stage.schedule,10,0.000124688,0.00012199,0.011540084040628708
32,10,0,AB,B,0,stage.threshold,2,2.1018e-05,2.0448e-05,0.0019452512380175653
32,10,0,AB,B,1,stage.aggregate,1,1.5172e-05,1.4833e-05,0.001366217033102848
32,10,0,AB,B,1,stage.alloc_init,1,0.002114058,0.002113693,0.1903679177806051
32,10,0,AB,B,1,stage.candidates,1,9.5418e-05,9.5131e-05,0.008592255263947243
32,10,0,AB,B,1,stage.cleanup,1,0.001490459,0.001490121,0.13421371427243856
32,10,0,AB,B,1,stage.delivery,1,4.1683e-05,4.1404e-05,0.0037534948978925663
32,10,0,AB,B,1,stage.leaf_distance,1,0.004202158,0.004201732,0.3783983545603347
