q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,A,0,stage.aggregate,1,1.9883e-05,1.9605e-05,0.0017277697692689169
32,10,0,AB,A,0,stage.alloc_init,1,0.002124477,0.002124025,0.18461032721959064
32,10,0,AB,A,0,stage.candidates,1,9.8024e-05,9.7743e-05,0.008517975348932068
32,10,0,AB,A,0,stage.cleanup,1,0.00160578,0.001605493,0.13953719962262442
32,10,0,AB,A,0,stage.delivery,1,4.2651e-05,4.237e-05,0.0037062369073624997
32,10,0,AB,A,0,stage.leaf_distance,1,0.003512259,0.003512009,0.30520419061724474
32,10,0,AB,A,0,stage.node_plan,4,9.596e-05,9.4817e-05,0.00833862028159962
32,10,0,AB,A,0,stage.node_prune,4,5.346e-05,5.2343e-05,0.004645504796314253
32,10,0,AB,A,0,stage.output_alloc,1,4.752e-06,4.448e-06,0.0004129337596723781
32,10,0,AB,A,0,stage.pivot_distance,2,0.000102231,0.000101675,0.008883550333557847
32,10,0,AB,A,0,stage.pivot_sort,2,0.000205167,0.000204521,0.017828362935753954
32,10,0,AB,A,0,stage.result_sort,1,0.003488206,0.003487866,0.3031140610462431
32,10,0,AB,A,0,stage.schedule,10,0.000124989,0.00012227,0.010861148503301948
32,10,0,AB,A,0,stage.threshold,2,1.9934e-05,1.938e-05,0.0017322015078512594
32,10,0,AB,A,1,stage.aggregate,1,2.1627e-05,2.1307e-05,0.0018769703111151846
32,10,0,AB,A,1,stage.alloc_init,1,0.00210967,0.002109378,0.18309464818284418
32,10,0,AB,A,1,stage.candidates,1,9.5535e-05,9.5243e-05,0.00829131912296616
32,10,0,AB,A,1,stage.cleanup,1,0.001425565,0.001425232,0.12372234621375677
32,10,0,AB,A,1,stage.delivery,1,3.8712e-05,3.8421e-05,0.00335974821676104
32,10,0,AB,A,1,stage.leaf_distance,1,0.003508344,0.003508089,0.30448317053586216
32,10,0,AB,A,1,stage.node_plan,4,9.411e-05,9.2994e-05,0.008167645812135294
