case,pair,policy,native_query_total_ms_rounded,update_wall_ms,update_cpu_ms
mixed16,0,B,166.32000000000002,274.186416,47.703487
mixed16,0,D,150.32,248.540014,226.447314
mixed16,0,R,148.24,,
mixed16,1,B,176.16,285.553025,58.121596
mixed16,1,D,140.8,237.737923,216.687246
mixed16,1,R,147.76,,
mixed16,2,B,176.16,285.819701,59.246529
mixed16,2,D,138.96,238.81672700000001,217.723411
mixed16,2,R,144.96,,
query128,0,B,243.968,244.519833,50.782171
query128,0,D,211.968,212.535855,196.186611
query128,0,R,210.56,,
query128,1,B,254.336,254.95341100000002,59.187962
query128,1,D,209.664,210.109974,195.13361500000002
query128,1,R,211.072,,
query128,2,B,257.28000000000003,257.83728099999996,59.117646
query128,2,D,211.71200000000002,212.218772,194.946471
query128,2,R,216.448,,
