run,source_group,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC,28,896,896,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",S2R,32,1024,1024,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDCU.64,20,640,640,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDCU,24,768,768,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UIADD3,20,640,640,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD,40,1280,1280,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.AND,28,896,896,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",EXIT,20,640,512,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ULOP3.LUT,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDC.64,12,384,384,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UIMAD,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.WIDE,28,896,895,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",UMOV,8,256,256,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MOV,16,512,512,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LDG.E,798800,25443900,25443899,209
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD,36,1152,896,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IABS,12,384,384,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",I2F.RP,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",MUFU.RCP,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",F2I.FTZ.U32.TRUNC.NTZ,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",HFMA2,8,256,256,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IMAD.HI.U32,8,256,256,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GT.U32.AND,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GE.U32.AND,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",LOP3.LUT,8,256,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.NE.AND,8,256,256,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD3,399394,12721758,12721758,5276
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSSY.RECONVERGENT,12,384,384,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BRA,199719,6361583,6360943,57
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSSY.RELIABLE,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",IADD.64,399394,12721758,12721758,57
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.GT.S64.AND,199707,6361199,6361199,61
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",PLOP3.LUT,8,256,256,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BSYNC.RECONVERGENT,118,384,384,71
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",ISETP.NE.S64.OR,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",BREAK.RELIABLE,4,128,128,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",STG.E,4,128,128,0
leaf_q128_r500_0,0,__internal_accurate_pow,ISETP.GT.U32.AND,328218054,2151788886,2151788886,70645
leaf_q128_r500_0,0,__internal_accurate_pow,MOV,1391708234,8799233444,6007893407,556965
leaf_q128_r500_0,0,__internal_accurate_pow,UMOV.64,3610398594,23669677746,23669677746,88783
leaf_q128_r500_0,0,__internal_accurate_pow,BSSY.RECONVERGENT,164109027,1075894443,1075894443,4121
leaf_q128_r500_0,0,__internal_accurate_pow,DMUL,1352290225,8703194494,7627300051,500092
leaf_q128_r500_0,0,__internal_accurate_pow,LOP3.LUT,656436108,4303577772,4303577772,272388
leaf_q128_r500_0,0,__internal_accurate_pow,SHF.R.U32.HI,164109027,1075894443,1075894443,8110
leaf_q128_r500_0,0,__internal_accurate_pow,LEA.HI,203527036,1171933393,96038950,19172
leaf_q128_r500_0,0,__internal_accurate_pow,ISETP.GE.U32.AND,164109027,1075894443,1075894443,4051
leaf_q128_r500_0,0,__internal_accurate_pow,IADD,695854117,4399616722,3024475470,783167
