run,launch_ordinal,kernel,metric,unit,value
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_read.sum,byte,296192
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_read.sum.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_read.sum.per_second,byte/s,28376882.77
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_write.sum,byte,473344
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_write.sum.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__bytes_op_write.sum.per_second,byte/s,45349054.67
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_active.avg.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_active.max.pct_of_peak_sustained_elapsed,%,0.01
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_active.min.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_active.sum.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_elapsed.avg.per_second,hz,12469475536.59
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_elapsed.max.per_second,hz,12469542983.80
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_elapsed.min.per_second,hz,12469444878.76
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__cycles_elapsed.sum.per_second,hz,199511608585.42
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__sectors_op_read.sum,sector,9256
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",dram__sectors_op_write.sum,sector,14792
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,%,0.24
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed,%,0.24
