case,pair,order,policy,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
n65536_q32_r300,0,DB,D,0,0.150470474,0.150419364,0.150460142,8.051000000008912e-06
n65536_q32_r300,0,DB,D,1,0.154726413,0.152158012,0.152244989,6.559999999988797e-06
n65536_q32_r300,0,DB,D,2,0.150897778,0.150821719,0.150861999,6.452000000017888e-06
n65536_q32_r300,0,DB,D,3,0.148800969,0.146304651,0.146395244,6.254000000011084e-06
n65536_q32_r300,0,DB,D,4,0.145013082,0.144915036,0.144951664,6.191999999988207e-06
n65536_q32_r300,0,DB,D,5,0.152107773,0.149336178,0.149415098,5.88099999998537e-06
n65536_q32_r300,0,DB,D,6,0.144486974,0.144436745,0.144476106,1.9485999999985237e-05
n65536_q32_r300,0,DB,D,7,0.151478767,0.148030583,0.148173989,7.262999999979591e-06
n65536_q32_r300,0,DB,B,0,0.156734815,0.002335323,0.003088466,2.619500000000663e-05
n65536_q32_r300,0,DB,B,1,0.151335266,0.001965726,0.002678804,2.3668000000004463e-05
n65536_q32_r300,0,DB,B,2,0.155792655,0.002267925,0.003107857,2.1759999999981794e-05
n65536_q32_r300,0,DB,B,3,0.151517437,0.00205296,0.002727767,1.974900000001334e-05
n65536_q32_r300,0,DB,B,4,0.156039789,0.002250864,0.00295486,1.9977000000032108e-05
n65536_q32_r300,0,DB,B,5,0.152760071,0.002186981,0.002847743,2.322700000001454e-05
n65536_q32_r300,0,DB,B,6,0.153698535,0.002381456,0.003067317,2.5364999999999416e-05
n65536_q32_r300,0,DB,B,7,0.148439971,0.00199893,0.002637643,2.0918000000008652e-05
n65536_q32_r300,1,BD,B,0,0.155047182,0.002202797,0.002994665,2.584099999999867e-05
n65536_q32_r300,1,BD,B,1,0.15135386,0.001909095,0.002726387,1.805600000001628e-05
n65536_q32_r300,1,BD,B,2,0.155773215,0.002063541,0.002894962,1.968099999999362e-05
n65536_q32_r300,1,BD,B,3,0.152515361,0.001997771,0.002843597,1.8756999999980373e-05
n65536_q32_r300,1,BD,B,4,0.155066898,0.002107502,0.002930982,1.7554000000030712e-05
n65536_q32_r300,1,BD,B,5,0.151903109,0.001969005,0.0027962,1.651700000002143e-05
n65536_q32_r300,1,BD,B,6,0.155668887,0.002192747,0.003044609,1.7575000000019658e-05
n65536_q32_r300,1,BD,B,7,0.151312993,0.001896283,0.002738933,1.5498000000002676e-05
n65536_q32_r300,1,BD,D,0,0.150356213,0.150263006,0.150326534,7.99599999998235e-06
n65536_q32_r300,1,BD,D,1,0.154715301,0.152084596,0.152117932,6.682000000007848e-06
n65536_q32_r300,1,BD,D,2,0.150869801,0.150775314,0.150839436,6.9929999999829295e-06
n65536_q32_r300,1,BD,D,3,0.155140884,0.152249644,0.152290157,7.988000000014317e-06
n65536_q32_r300,1,BD,D,4,0.151797468,0.151059954,0.151121842,5.778999999983547e-06
n65536_q32_r300,1,BD,D,5,0.15393954,0.151767454,0.151801474,6.065999999999017e-06
n65536_q32_r300,1,BD,D,6,0.150109705,0.149287015,0.149352049,6.289000000020417e-06
n65536_q32_r300,1,BD,D,7,0.154246736,0.152031156,0.152062902,5.561000000015026e-06
n65536_q32_r300,2,DB,D,0,0.150783557,0.150779389,0.150813192,8.247000000016769e-06
n65536_q32_r300,2,DB,D,1,0.154665341,0.151980653,0.152041741,7.220000000002225e-06
n65536_q32_r300,2,DB,D,2,0.150380603,0.150374112,0.150407068,5.899000000003651e-06
n65536_q32_r300,2,DB,D,3,0.154915638,0.152312568,0.152391489,6.187999999990312e-06
n65536_q32_r300,2,DB,D,4,0.151055669,0.15049794,0.150532972,6.104000000006771e-06
n65536_q32_r300,2,DB,D,5,0.155181368,0.152393814,0.152458866,6.3199999999763445e-06
n65536_q32_r300,2,DB,D,6,0.148872104,0.148375219,0.14840678,5.449000000018467e-06
n65536_q32_r300,2,DB,D,7,0.155068324,0.152471525,0.152535161,6.135000000018209e-06
n65536_q32_r300,2,DB,B,0,0.153752888,0.002307624,0.003228669,2.313900000000535e-05
n65536_q32_r300,2,DB,B,1,0.155235299,0.00304838,0.0038626,3.424699999998726e-05
n65536_q32_r300,2,DB,B,2,0.151866737,0.002345026,0.003216429,2.3606000000009342e-05
n65536_q32_r300,2,DB,B,3,0.156010905,0.002507987,0.003459778,2.1678999999996673e-05
n65536_q32_r300,2,DB,B,4,0.152089379,0.002131123,0.00296048,1.7839999999991196e-05
n65536_q32_r300,2,DB,B,5,0.155997434,0.002447573,0.003363094,1.74359999999818e-05
n65536_q32_r300,2,DB,B,6,0.152025654,0.002065753,0.002941235,1.654500000003445e-05
n65536_q32_r300,2,DB,B,7,0.156487257,0.00251219,0.003446209,1.906299999998584e-05
n65536_q32_r300,3,BD,B,0,0.153369364,0.002090223,0.002926649,2.1481000000017625e-05
n65536_q32_r300,3,BD,B,1,0.154556064,0.002285841,0.003138464,2.0346000000004416e-05
n65536_q32_r300,3,BD,B,2,0.151847929,0.002669216,0.003436087,3.116699999999861e-05
n65536_q32_r300,3,BD,B,3,0.155920064,0.002453526,0.003263871,2.384899999999246e-05
n65536_q32_r300,3,BD,B,4,0.151786866,0.002153734,0.002965964,2.155500000000643e-05
n65536_q32_r300,3,BD,B,5,0.156485919,0.002463322,0.003288882,2.087000000000616e-05
n65536_q32_r300,3,BD,B,6,0.152099676,0.002189815,0.002999013,2.3099999999998122e-05
n65536_q32_r300,3,BD,B,7,0.156256019,0.002323478,0.003162445,2.278499999999739e-05
n65536_q32_r300,3,BD,D,0,0.150484886,0.150481548,0.150514458,8.668000000017217e-06
n65536_q32_r300,3,BD,D,1,0.154403831,0.151907142,0.151970793,7.06299999997384e-06
n65536_q32_r300,3,BD,D,2,0.150749457,0.150687258,0.150720208,5.617000000013306e-06
n65536_q32_r300,3,BD,D,3,0.155247967,0.15245258,0.152516059,6.13399999999098e-06
n65536_q32_r300,3,BD,D,4,0.151125295,0.151043854,0.151074978,5.641999999972391e-06
n65536_q32_r300,3,BD,D,5,0.155306889,0.152448286,0.15251011,6.348000000017118e-06
n65536_q32_r300,3,BD,D,6,0.150303558,0.149868227,0.149900488,5.9619999999982465e-06
n65536_q32_r300,3,BD,D,7,0.155600276,0.152642488,0.152705226,5.66600000001527e-06
n65536_q32_r300,4,DB,D,0,0.150232513,0.150230239,0.150294593,8.015999999999579e-06
n65536_q32_r300,4,DB,D,1,0.154734719,0.151929523,0.151963033,6.3749999999751505e-06
n65536_q32_r300,4,DB,D,2,0.150817699,0.150762469,0.150827982,5.507000000015694e-06
n65536_q32_r300,4,DB,D,3,0.15544127,0.152730431,0.152763758,6.5669999999851125e-06
n65536_q32_r300,4,DB,D,4,0.151074325,0.151069415,0.151131926,6.71100000002034e-06
n65536_q32_r300,4,DB,D,5,0.154986582,0.152483137,0.152514669,6.440000000024204e-06
n65536_q32_r300,4,DB,D,6,0.162331205,0.153894908,0.153956132,5.503000000017799e-06
n65536_q32_r300,4,DB,D,7,0.203334116,0.16902862,0.169166405,2.139500000000738e-05
n65536_q32_r300,4,DB,B,0,0.151985037,0.00244787,0.003152755,2.5309000000001136e-05
n65536_q32_r300,4,DB,B,1,0.156116241,0.002733742,0.003399676,2.9538999999995097e-05
n65536_q32_r300,4,DB,B,2,0.151063254,0.002400111,0.003138529,2.7672000000006358e-05
n65536_q32_r300,4,DB,B,3,0.155914629,0.00262876,0.003304447,2.6866999999985985e-05
n65536_q32_r300,4,DB,B,4,0.151961401,0.002256952,0.003022806,2.021699999998905e-05
n65536_q32_r300,4,DB,B,5,0.156301084,0.002546724,0.003233108,2.0617000000028307e-05
n65536_q32_r300,4,DB,B,6,0.151666008,0.002394529,0.003142813,2.0143999999999718e-05
n65536_q32_r300,4,DB,B,7,0.155440967,0.002275432,0.003008304,1.7591000000011237e-05
n65536_q32_r300,5,BD,B,0,0.151790077,0.002027431,0.00291773,2.363700000002078e-05
n65536_q32_r300,5,BD,B,1,0.156729888,0.002216486,0.003142693,5.0895000000023005e-05
n65536_q32_r300,5,BD,B,2,0.151904787,0.001875832,0.002767142,1.7119000000037632e-05
n65536_q32_r300,5,BD,B,3,0.15571586,0.001985335,0.002913393,1.619799999999505e-05
n65536_q32_r300,5,BD,B,4,0.151607294,0.001983314,0.002843961,1.5074000000003807e-05
n65536_q32_r300,5,BD,B,5,0.155934267,0.002232886,0.003145091,1.869999999998262e-05
n65536_q32_r300,5,BD,B,6,0.152055809,0.002013977,0.002942429,1.6178999999977295e-05
n65536_q32_r300,5,BD,B,7,0.156451839,0.002137605,0.003020318,1.6579000000016553e-05
n65536_q32_r300,5,BD,D,0,0.151074181,0.151039036,0.151068461,1.0982999999992193e-05
n65536_q32_r300,5,BD,D,1,0.15477456,0.151972497,0.152033184,8.115000000002981e-06
n65536_q32_r300,5,BD,D,2,0.150332997,0.150284919,0.150312941,6.043999999982841e-06
n65536_q32_r300,5,BD,D,3,0.155152773,0.152262822,0.152320639,7.028999999991736e-06
n65536_q32_r300,5,BD,D,4,0.15113816,0.151011525,0.151043537,5.834999999981827e-06
n65536_q32_r300,5,BD,D,5,0.154895041,0.152457326,0.152512293,5.864999999993792e-06
n65536_q32_r300,5,BD,D,6,0.148881201,0.148869439,0.1488999,5.3439999999904675e-06
n65536_q32_r300,5,BD,D,7,0.155306936,0.152538125,0.1526005,5.7520000000255145e-06
n65536_q32_r500,0,DB,D,0,0.180271285,0.177629511,0.177683804,9.70699999999769e-06
n65536_q32_r500,0,DB,D,1,0.180384766,0.177618207,0.177682408,8.297000000018206e-06
n65536_q32_r500,0,DB,D,2,0.18043759,0.177476835,0.177539886,7.823999999989617e-06
