case,pair,order,policy,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
n65536_q32_r300,0,DB,D,0,stage.aggregate,1,0.008714124,0.008713966,0.057912517774085036
n65536_q32_r300,0,DB,D,0,stage.alloc_init,1,0.000638707,0.000638437,0.0042447330896292655
n65536_q32_r300,0,DB,D,0,stage.candidates,1,0.000123678,0.000123391,0.0008219419844454003
n65536_q32_r300,0,DB,D,0,stage.cleanup,1,0.00027234,0.000272051,0.0018099231879870332
n65536_q32_r300,0,DB,D,0,stage.delivery,1,2.3342e-05,2.307e-05,0.0001551267792244743
n65536_q32_r300,0,DB,D,0,stage.leaf_distance,1,0.129218334,0.129164067,0.8587620585285057
n65536_q32_r300,0,DB,D,0,stage.node_distance_prune,4,0.011239265,0.011238242,0.07469415561221665
n65536_q32_r300,0,DB,D,0,stage.schedule,10,0.000232633,0.000229518,0.0015460375302599233
n65536_q32_r300,0,DB,D,1,stage.aggregate,1,0.00871128,0.008711137,0.05630118239734543
n65536_q32_r300,0,DB,D,1,stage.alloc_init,1,0.000626829,0.000626504,0.00405120876162236
n65536_q32_r300,0,DB,D,1,stage.candidates,1,0.000130443,0.00012961,0.0008430558006925423
n65536_q32_r300,0,DB,D,1,stage.cleanup,1,0.00027395,0.000273619,0.0017705445029608487
n65536_q32_r300,0,DB,D,1,stage.delivery,1,2.3157e-05,2.2876e-05,0.00014966416884491465
n65536_q32_r300,0,DB,D,1,stage.leaf_distance,1,0.128958538,0.128960308,0.8334616921546549
n65536_q32_r300,0,DB,D,1,stage.node_distance_prune,4,0.010996954,0.010985754,0.0710735406242501
n65536_q32_r300,0,DB,D,1,stage.schedule,10,0.004998702,0.002433805,0.03230671417426319
n65536_q32_r300,0,DB,D,2,stage.aggregate,1,0.008703692,0.008703558,0.05767939140893115
n65536_q32_r300,0,DB,D,2,stage.alloc_init,1,0.000631814,0.0006315,0.004187033158301376
n65536_q32_r300,0,DB,D,2,stage.candidates,1,0.000437367,0.000436906,0.0028984323413960406
n65536_q32_r300,0,DB,D,2,stage.cleanup,1,0.000271203,0.000270912,0.0017972630451854633
n65536_q32_r300,0,DB,D,2,stage.delivery,1,2.3504e-05,2.3219e-05,0.00015576107422867418
n65536_q32_r300,0,DB,D,2,stage.leaf_distance,1,0.129104317,0.129026237,0.8555746725442173
n65536_q32_r300,0,DB,D,2,stage.node_distance_prune,4,0.011401291,0.011400163,0.07555638758312265
n65536_q32_r300,0,DB,D,2,stage.schedule,10,0.000318138,0.000315002,0.0021083014224371147
n65536_q32_r300,0,DB,D,3,stage.aggregate,1,0.008476556,0.008476438,0.05696573118418335
n65536_q32_r300,0,DB,D,3,stage.alloc_init,1,0.00063196,0.000631668,0.004247015353777702
n65536_q32_r300,0,DB,D,3,stage.candidates,1,0.000481575,0.000480469,0.0032363700534772727
n65536_q32_r300,0,DB,D,3,stage.cleanup,1,0.00027744,0.000277131,0.0018645039872018574
n65536_q32_r300,0,DB,D,3,stage.delivery,1,2.4034e-05,2.3752e-05,0.00016151776538498214
n65536_q32_r300,0,DB,D,3,stage.leaf_distance,1,0.123602996,0.123491295,0.8306598863613583
n65536_q32_r300,0,DB,D,3,stage.node_distance_prune,4,0.010951523,0.010950401,0.07359846561214262
n65536_q32_r300,0,DB,D,3,stage.schedule,10,0.004348631,0.001958756,0.029224480386280283
n65536_q32_r300,0,DB,D,4,stage.aggregate,1,0.008477539,0.008452995,0.05846051185919902
n65536_q32_r300,0,DB,D,4,stage.alloc_init,1,0.000628883,0.000628591,0.004336732874900211
n65536_q32_r300,0,DB,D,4,stage.candidates,1,0.000490413,0.00048931,0.0033818535075338927
n65536_q32_r300,0,DB,D,4,stage.cleanup,1,0.000271003,0.000270694,0.0018688176008837605
n65536_q32_r300,0,DB,D,4,stage.delivery,1,2.2826e-05,2.2547e-05,0.0001574064883332388
n65536_q32_r300,0,DB,D,4,stage.leaf_distance,1,0.12359814,0.123522544,0.852324068251994
n65536_q32_r300,0,DB,D,4,stage.node_distance_prune,4,0.011260902,0.011258966,0.07765438707109197
n65536_q32_r300,0,DB,D,4,stage.schedule,10,0.000257184,0.000254357,0.0017735227501750497
n65536_q32_r300,0,DB,D,5,stage.aggregate,1,0.008475453,0.008475325,0.05572005186086053
n65536_q32_r300,0,DB,D,5,stage.alloc_init,1,0.000631778,0.000631519,0.0041534892500201155
n65536_q32_r300,0,DB,D,5,stage.candidates,1,0.000151631,0.000151357,0.0009968655579488366
n65536_q32_r300,0,DB,D,5,stage.cleanup,1,0.000265964,0.000265632,0.0017485233972888419
n65536_q32_r300,0,DB,D,5,stage.delivery,1,2.2954e-05,2.268e-05,0.0001509061604629502
n65536_q32_r300,0,DB,D,5,stage.leaf_distance,1,0.126480588,0.126444036,0.8315195568605163
n65536_q32_r300,0,DB,D,5,stage.node_distance_prune,4,0.010908897,0.010907783,0.07171820864144793
n65536_q32_r300,0,DB,D,5,stage.schedule,10,0.005164627,0.002424794,0.03395373489558617
n65536_q32_r300,0,DB,D,6,stage.aggregate,1,0.00850966,0.008509498,0.05889568979415405
n65536_q32_r300,0,DB,D,6,stage.alloc_init,1,0.000634406,0.000634147,0.004390748746665565
n65536_q32_r300,0,DB,D,6,stage.candidates,1,0.000492371,0.000492071,0.003407718954651234
n65536_q32_r300,0,DB,D,6,stage.cleanup,1,0.000397278,0.000396992,0.0027495765812079365
n65536_q32_r300,0,DB,D,6,stage.delivery,1,3.6852e-05,3.6571e-05,0.0002550541338072455
n65536_q32_r300,0,DB,D,6,stage.leaf_distance,1,0.123576399,0.123524054,0.855277092314218
n65536_q32_r300,0,DB,D,6,stage.node_distance_prune,4,0.010569415,0.010568457,0.0731513347355451
n65536_q32_r300,0,DB,D,6,stage.schedule,10,0.000251107,0.00024819,0.0017379213713756645
n65536_q32_r300,0,DB,D,7,stage.aggregate,1,0.008477481,0.008370009,0.05596481386727951
n65536_q32_r300,0,DB,D,7,stage.alloc_init,1,0.000576235,0.000575934,0.0038040644996800116
n65536_q32_r300,0,DB,D,7,stage.candidates,1,0.000147571,0.000147261,0.0009742025428553957
n65536_q32_r300,0,DB,D,7,stage.cleanup,1,0.000283483,0.000283148,0.0018714372028127218
n65536_q32_r300,0,DB,D,7,stage.delivery,1,2.6175e-05,2.5899e-05,0.00017279649497014985
n65536_q32_r300,0,DB,D,7,stage.leaf_distance,1,0.12556782,0.124971456,0.828946673430475
n65536_q32_r300,0,DB,D,7,stage.node_distance_prune,4,0.011119015,0.011118079,0.07340312586515839
n65536_q32_r300,0,DB,D,7,stage.schedule,10,0.005273724,0.002523741,0.03481493878280644
n65536_q32_r300,0,DB,B,0,stage.aggregate,1,0.008770318,3.0424e-05,0.0559564127472253
n65536_q32_r300,0,DB,B,0,stage.alloc_init,1,0.000617997,0.000572482,0.003942946562319291
n65536_q32_r300,0,DB,B,0,stage.candidates,1,0.000431252,0.000191113,0.002751475477863677
n65536_q32_r300,0,DB,B,0,stage.cleanup,1,0.000734627,0.00073355,0.004687069685187685
n65536_q32_r300,0,DB,B,0,stage.delivery,1,8.8673e-05,6.5304e-05,0.0005657517763363551
n65536_q32_r300,0,DB,B,0,stage.leaf_distance,1,0.12919786,3.0457e-05,0.8243086260062896
