case,process,order,variant,batch,sample,wall_us,thread_cpu_us,event_us
n65536_q32_r300,0,OSTD,O,1,0,145132.544,1844.171,145149.125
n65536_q32_r300,0,OSTD,O,1,1,149814.364,2223.891,149821.0
n65536_q32_r300,0,OSTD,O,1,2,145658.351,1908.088,145664.5
n65536_q32_r300,0,OSTD,O,1,3,150205.574,2164.45,150211.28125
n65536_q32_r300,0,OSTD,O,1,4,143864.238,1721.063,143870.140625
n65536_q32_r300,0,OSTD,O,1,5,150047.269,2200.84,150053.4375
n65536_q32_r300,0,OSTD,O,1,6,145604.063,1804.474,145610.390625
n65536_q32_r300,0,OSTD,O,1,7,150090.902,2311.594,150097.21875
n65536_q32_r300,0,OSTD,O,1,8,145406.659,1846.252,145412.265625
n65536_q32_r300,0,OSTD,O,1,9,149897.369,2137.376,149902.875
n65536_q32_r300,0,OSTD,O,1,10,144980.755,1739.869,144986.265625
n65536_q32_r300,0,OSTD,O,1,11,149913.905,2215.583,149919.203125
n65536_q32_r300,0,OSTD,O,1,12,145648.894,1881.366,145654.84375
n65536_q32_r300,0,OSTD,O,1,13,150298.415,1891.971,150304.125
n65536_q32_r300,0,OSTD,O,1,14,143828.523,1767.336,143833.984375
n65536_q32_r300,0,OSTD,O,1,15,150018.245,2147.948,150023.96875
n65536_q32_r300,0,OSTD,O,1,16,145604.347,1872.738,145609.609375
n65536_q32_r300,0,OSTD,O,1,17,150053.37,2221.818,150059.140625
n65536_q32_r300,0,OSTD,O,1,18,145322.541,1871.871,145328.328125
n65536_q32_r300,0,OSTD,O,1,19,149995.898,2106.844,150002.15625
n65536_q32_r300,0,OSTD,O,16,0,147609.51675,2032.349937,147615.233398
n65536_q32_r300,0,OSTD,O,16,1,147668.808937,2144.585625,147676.165039
n65536_q32_r300,0,OSTD,O,16,2,147606.563687,1991.192875,147612.132812
n65536_q32_r300,0,OSTD,O,16,3,147588.966875,2063.111,147595.136719
n65536_q32_r300,0,OSTD,O,16,4,147360.567563,2068.032063,147366.061523
n65536_q32_r300,0,OSTD,S,1,0,175991.23,2318.14,175999.671875
n65536_q32_r300,0,OSTD,S,1,1,175956.764,2256.143,175962.625
n65536_q32_r300,0,OSTD,S,1,2,176048.704,2258.839,176059.328125
n65536_q32_r300,0,OSTD,S,1,3,176001.652,2554.265,176008.78125
n65536_q32_r300,0,OSTD,S,1,4,175885.031,2225.521,175891.390625
n65536_q32_r300,0,OSTD,S,1,5,175989.404,2156.408,175995.484375
n65536_q32_r300,0,OSTD,S,1,6,175845.157,2185.201,175850.53125
n65536_q32_r300,0,OSTD,S,1,7,174447.372,2139.435,174453.3125
n65536_q32_r300,0,OSTD,S,1,8,169455.707,1998.793,169462.078125
n65536_q32_r300,0,OSTD,S,1,9,174988.815,2183.041,174995.515625
n65536_q32_r300,0,OSTD,S,1,10,168895.208,2182.829,168901.21875
n65536_q32_r300,0,OSTD,S,1,11,174816.003,2222.769,174821.984375
n65536_q32_r300,0,OSTD,S,1,12,169165.534,2125.291,169170.6875
n65536_q32_r300,0,OSTD,S,1,13,175300.57,2273.062,175307.625
