case,process,order,variant,batch,sample,event_us,host_us
n65536_q32_r300,0,AB,A,1,0,239.007996,255.226
n65536_q32_r300,0,AB,A,1,1,234.784012,241.786
n65536_q32_r300,0,AB,A,1,2,233.664001,240.455
n65536_q32_r300,0,AB,A,1,3,234.080002,240.782
n65536_q32_r300,0,AB,A,1,4,234.047989,240.631
n65536_q32_r300,0,AB,A,1,5,236.159988,242.576
n65536_q32_r300,0,AB,A,1,6,234.975998,241.78
n65536_q32_r300,0,AB,A,1,7,234.304001,241.262
n65536_q32_r300,0,AB,A,1,8,235.967987,242.523
n65536_q32_r300,0,AB,A,1,9,233.855988,240.5
n65536_q32_r300,0,AB,A,1,10,233.983994,240.722
n65536_q32_r300,0,AB,A,1,11,233.472,240.052
n65536_q32_r300,0,AB,A,1,12,234.112,239.5
n65536_q32_r300,0,AB,A,1,13,235.615997,240.469
n65536_q32_r300,0,AB,A,1,14,234.911987,239.924
n65536_q32_r300,0,AB,A,1,15,235.456009,241.041
n65536_q32_r300,0,AB,A,1,16,234.080002,240.175
n65536_q32_r300,0,AB,A,1,17,234.464005,241.039
n65536_q32_r300,0,AB,A,1,18,234.528,240.776
n65536_q32_r300,0,AB,A,1,19,234.59201,241.138
n65536_q32_r300,0,AB,A,1,20,234.143997,240.662
n65536_q32_r300,0,AB,A,1,21,234.112,240.683
n65536_q32_r300,0,AB,A,1,22,234.23999,241.067
n65536_q32_r300,0,AB,A,1,23,235.712006,242.305
n65536_q32_r300,0,AB,A,1,24,235.967987,242.594
n65536_q32_r300,0,AB,A,1,25,234.112,240.638
n65536_q32_r300,0,AB,A,1,26,234.175995,240.77
n65536_q32_r300,0,AB,A,1,27,233.983994,240.727
n65536_q32_r300,0,AB,A,1,28,234.304001,240.575
n65536_q32_r300,0,AB,A,1,29,234.23999,240.737
n65536_q32_r300,0,AB,A,1,30,234.112,240.635
n65536_q32_r300,0,AB,A,1,31,234.143997,241.005
n65536_q32_r300,0,AB,A,1,32,233.600006,240.204
n65536_q32_r300,0,AB,A,1,33,234.016006,240.614
n65536_q32_r300,0,AB,A,1,34,234.047989,240.661
n65536_q32_r300,0,AB,A,1,35,234.112,240.917
n65536_q32_r300,0,AB,A,1,36,234.847992,241.397
n65536_q32_r300,0,AB,A,1,37,233.248001,239.838
n65536_q32_r300,0,AB,A,1,38,234.175995,240.737
n65536_q32_r300,0,AB,A,1,39,234.272003,241.01
n65536_q32_r300,0,AB,A,1,40,234.623993,241.279
n65536_q32_r300,0,AB,A,1,41,235.136002,241.632
n65536_q32_r300,0,AB,A,1,42,234.080002,240.646
n65536_q32_r300,0,AB,A,1,43,234.143997,241.038
n65536_q32_r300,0,AB,A,1,44,233.983994,241.28
n65536_q32_r300,0,AB,A,1,45,234.080002,240.631
n65536_q32_r300,0,AB,A,1,46,234.080002,240.765
n65536_q32_r300,0,AB,A,1,47,234.143997,241.038
n65536_q32_r300,0,AB,A,1,48,233.695999,240.287
n65536_q32_r300,0,AB,A,1,49,234.175995,240.837
n65536_q32_r300,0,AB,A,1,50,235.231995,241.882
n65536_q32_r300,0,AB,A,1,51,234.112,240.798
n65536_q32_r300,0,AB,A,1,52,233.919998,240.511
n65536_q32_r300,0,AB,A,1,53,234.143997,240.638
n65536_q32_r300,0,AB,A,1,54,234.175995,240.708
n65536_q32_r300,0,AB,A,1,55,233.951996,240.866
n65536_q32_r300,0,AB,A,1,56,234.047989,240.621
n65536_q32_r300,0,AB,A,1,57,234.047989,240.789
n65536_q32_r300,0,AB,A,1,58,234.175995,240.684
n65536_q32_r300,0,AB,A,1,59,233.311996,239.834
n65536_q32_r300,0,AB,A,1,60,234.911987,242.833
n65536_q32_r300,0,AB,A,1,61,234.815994,241.612
n65536_q32_r300,0,AB,A,1,62,234.208008,240.685
n65536_q32_r300,0,AB,A,1,63,234.047989,240.658
n65536_q32_r300,0,AB,A,1,64,234.175995,242.745
n65536_q32_r300,0,AB,A,1,65,236.095993,242.758
n65536_q32_r300,0,AB,A,1,66,235.231995,241.79
n65536_q32_r300,0,AB,A,1,67,235.199997,240.747
n65536_q32_r300,0,AB,A,1,68,234.367996,240.951
n65536_q32_r300,0,AB,A,1,69,233.919998,240.48
n65536_q32_r300,0,AB,A,1,70,234.208008,240.732
n65536_q32_r300,0,AB,A,1,71,234.272003,239.762
n65536_q32_r300,0,AB,A,1,72,237.216003,241.896
n65536_q32_r300,0,AB,A,1,73,232.768005,239.493
n65536_q32_r300,0,AB,A,1,74,234.751999,240.02
n65536_q32_r300,0,AB,A,1,75,234.847992,240.384
n65536_q32_r300,0,AB,A,1,76,234.400009,240.906
n65536_q32_r300,0,AB,A,1,77,236.0,242.617
n65536_q32_r300,0,AB,A,1,78,237.087997,243.522
n65536_q32_r300,0,AB,A,1,79,236.223999,242.79
n65536_q32_r300,0,AB,A,1,80,235.29599,241.985
n65536_q32_r300,0,AB,A,1,81,235.967987,242.687
n65536_q32_r300,0,AB,A,1,82,234.112,239.746
n65536_q32_r300,0,AB,A,1,83,235.039993,239.754
n65536_q32_r300,0,AB,A,1,84,235.072006,240.757
n65536_q32_r300,0,AB,A,1,85,233.983994,239.534
n65536_q32_r300,0,AB,A,1,86,235.103989,240.723
n65536_q32_r300,0,AB,A,1,87,234.047989,240.602
n65536_q32_r300,0,AB,A,1,88,234.112,242.999
n65536_q32_r300,0,AB,A,1,89,234.944,240.533
n65536_q32_r300,0,AB,A,1,90,234.112,239.75
n65536_q32_r300,0,AB,A,1,91,235.072006,239.764
n65536_q32_r300,0,AB,A,1,92,233.503998,240.511
n65536_q32_r300,0,AB,A,1,93,236.192001,242.832
n65536_q32_r300,0,AB,A,1,94,234.080002,240.555
n65536_q32_r300,0,AB,A,1,95,234.304001,240.755
n65536_q32_r300,0,AB,A,1,96,235.136002,240.8
n65536_q32_r300,0,AB,A,1,97,236.0,241.369
n65536_q32_r300,0,AB,A,1,98,235.29599,240.981
n65536_q32_r300,0,AB,A,1,99,237.023987,241.717
n65536_q32_r300,0,AB,A,64,0,231.60701,231.699469
n65536_q32_r300,0,AB,A,64,1,231.595001,231.703156
n65536_q32_r300,0,AB,A,64,2,231.633499,231.746
n65536_q32_r300,0,AB,A,64,3,231.610001,231.707094
n65536_q32_r300,0,AB,A,64,4,231.705994,231.800016
n65536_q32_r300,0,AB,A,64,5,231.645493,231.754891
n65536_q32_r300,0,AB,A,64,6,231.730499,231.843437
n65536_q32_r300,0,AB,A,64,7,231.652496,231.765672
n65536_q32_r300,0,AB,A,64,8,231.673492,231.775281
n65536_q32_r300,0,AB,A,64,9,231.667999,231.845687
n65536_q32_r300,0,AB,A,64,10,231.694992,231.802797
n65536_q32_r300,0,AB,A,64,11,231.696503,231.807687
n65536_q32_r300,0,AB,A,64,12,231.666504,231.7735
n65536_q32_r300,0,AB,A,64,13,231.778,231.886766
n65536_q32_r300,0,AB,A,64,14,231.667511,231.773594
n65536_q32_r300,0,AB,A,64,15,231.636002,231.742875
n65536_q32_r300,0,AB,A,64,16,231.699493,231.806734
n65536_q32_r300,0,AB,A,64,17,231.701004,231.809344
n65536_q32_r300,0,AB,A,64,18,231.710999,231.820437
n65536_q32_r300,0,AB,A,64,19,231.7005,231.790562
n65536_q32_r300,0,AB,B,1,0,214.367996,222.498
n65536_q32_r300,0,AB,B,1,1,213.632004,220.865
n65536_q32_r300,0,AB,B,1,2,212.479996,219.314
n65536_q32_r300,0,AB,B,1,3,213.440002,220.079
n65536_q32_r300,0,AB,B,1,4,212.416,218.971
n65536_q32_r300,0,AB,B,1,5,212.608002,219.166
n65536_q32_r300,0,AB,B,1,6,210.528,217.383
n65536_q32_r300,0,AB,B,1,7,217.216003,223.939
n65536_q32_r300,0,AB,B,1,8,214.720001,221.283
n65536_q32_r300,0,AB,B,1,9,212.512009,219.159
n65536_q32_r300,0,AB,B,1,10,210.591995,217.471
n65536_q32_r300,0,AB,B,1,11,214.080002,220.544
n65536_q32_r300,0,AB,B,1,12,212.639999,219.134
n65536_q32_r300,0,AB,B,1,13,214.591995,221.18
n65536_q32_r300,0,AB,B,1,14,215.455994,222.198
n65536_q32_r300,0,AB,B,1,15,212.576004,219.447
n65536_q32_r300,0,AB,B,1,16,212.992004,219.669
n65536_q32_r300,0,AB,B,1,17,214.783997,221.279
n65536_q32_r300,0,AB,B,1,18,214.591995,221.268
n65536_q32_r300,0,AB,B,1,19,212.543991,219.545
n65536_q32_r300,0,AB,B,1,20,213.024002,219.619
n65536_q32_r300,0,AB,B,1,21,212.543991,219.212
n65536_q32_r300,0,AB,B,1,22,212.479996,219.13
n65536_q32_r300,0,AB,B,1,23,212.639999,219.291
n65536_q32_r300,0,AB,B,1,24,216.671997,223.569
n65536_q32_r300,0,AB,B,1,25,212.031998,218.753
n65536_q32_r300,0,AB,B,1,26,212.512009,219.209
n65536_q32_r300,0,AB,B,1,27,212.447998,219.059
n65536_q32_r300,0,AB,B,1,28,214.240005,221.485
n65536_q32_r300,0,AB,B,1,29,215.296005,221.002
n65536_q32_r300,0,AB,B,1,30,213.503998,219.069
n65536_q32_r300,0,AB,B,1,31,214.688004,221.236
n65536_q32_r300,0,AB,B,1,32,212.608002,219.274
n65536_q32_r300,0,AB,B,1,33,214.528,221.428
