run,scope,api,calls,inclusive_host_ms
nsys_all_include,cub::DeviceRadixSort,cuKernelGetName,2,0.000525
nsys_all_include,cub::DeviceRadixSort,cudaLaunchKernel_v7000,2,0.035906
nsys_all_include,cub::DeviceReduce::Reduce,cuKernelGetName,2,0.000507
nsys_all_include,cub::DeviceReduce::Reduce,cudaLaunchKernel_v7000,2,0.049256
nsys_all_include,incomplete:main.total,cudaEventCreateWithFlags_v3020,2,0.011233
nsys_all_include,incomplete:main.total,cudaEventRecord_v3020,2,0.019858
nsys_all_include,incomplete:main.total,cudaEventSynchronize_v3020,1,0.004877
nsys_all_include,incomplete:main.total,cudaMallocManaged_v6000,1,0.015031
nsys_all_include,incomplete:main.total,cudaMemcpyToSymbol_v3020,5,0.038137
nsys_all_include,incomplete:op.query,cuKernelGetName,1,0.000266
nsys_all_include,incomplete:op.query,cudaDeviceSynchronize_v3020,1,0.08805
nsys_all_include,incomplete:op.query,cudaLaunchKernel_v7000,1,0.017446
nsys_all_include,incomplete:update.total,cudaDeviceSynchronize_v3020,2,0.007974
nsys_all_include,incomplete:update.total,cudaMallocManaged_v6000,7,0.039009
nsys_all_include,incomplete:update.total,cudaMalloc_v3020,3,0.018031
nsys_all_include,incomplete:update.total,cudaMemcpy_v3020,1,1.021979
nsys_all_include,incomplete:update.total,cudaMemset_v3020,1,0.696764
nsys_all_include,index.fix_leaf_flags,cudaMemcpy_v3020,2,0.025831
nsys_all_include,index.padding_total,cudaFree_v3020,1,0.005038
nsys_all_include,index.padding_total,cudaMalloc_v3020,1,0.004109
nsys_all_include,index.padding_total,cudaMemcpy_v3020,5,0.0576
nsys_all_include,index.total,cuKernelGetName,5,0.002049
nsys_all_include,index.total,cudaDeviceSynchronize_v3020,5,5.059724
nsys_all_include,index.total,cudaFree_v3020,4,0.033644
nsys_all_include,index.total,cudaLaunchKernel_v7000,5,24.076598
nsys_all_include,index.total,cudaMallocManaged_v6000,2,0.011401999999999999
nsys_all_include,index.total,cudaMalloc_v3020,7,0.19254
nsys_all_include,index.total,cudaMemset_v3020,3,0.016174
nsys_all_include,input.load,cuLibraryGetKernel,82,0.030797000000000005
nsys_all_include,input.load,cuLibraryGetManaged,6,0.0016269999999999998
nsys_all_include,input.load,cuLibraryLoadData,1,6.863965
nsys_all_include,input.load,cuModuleGetLoadingMode,1,0.005139
nsys_all_include,input.load,cudaMallocManaged_v6000,2,137.854217
nsys_all_include,query.result_workspace,cudaMallocManaged_v6000,2,0.011435
nsys_all_include,query.workspace,cudaMallocManaged_v6000,4,0.020364
nsys_all_include,query.workspace,cudaMalloc_v3020,10,0.048287
nsys_all_include,thrust::inclusive_scan,cuKernelGetName,2,0.000431
nsys_all_include,thrust::inclusive_scan,cudaFree_v3020,1,0.007908
nsys_all_include,thrust::inclusive_scan,cudaLaunchKernel_v7000,2,0.026657
nsys_all_include,thrust::inclusive_scan,cudaMalloc_v3020,1,0.005927
nsys_all_include,thrust::inclusive_scan,cudaStreamSynchronize_v3020,1,0.005043
nsys_all_include,thrust::reduce,cudaFree_v3020,2,0.013135999999999998
nsys_all_include,thrust::reduce,cudaMalloc_v3020,2,0.013574
nsys_all_include,thrust::reduce,cudaMemcpyAsync_v3020,2,0.044426
nsys_all_include,thrust::reduce,cudaStreamSynchronize_v3020,4,0.015632
nsys_all_include,thrust::sort_by_key,cudaFree_v3020,2,0.016084
nsys_all_include,thrust::sort_by_key,cudaMalloc_v3020,2,0.016228
nsys_all_include,thrust::sort_by_key,cudaMemcpyAsync_v3020,4,0.042288
nsys_all_include,thrust::sort_by_key,cudaStreamSynchronize_v3020,6,0.033571000000000004
nsys_all_include,update.delete_prefix,cudaDeviceSynchronize_v3020,1,0.001702
nsys_all_include,update.init_mirrors,cudaMemcpy_v3020,3,0.038691
nsys_all_include,update.query,cuKernelGetName,9,0.00225
nsys_all_include,update.query,cudaDeviceSynchronize_v3020,2,1.087174
nsys_all_include,update.query,cudaLaunchKernel_v7000,9,0.22866899999999998
nsys_all_include,update.query,cudaMallocManaged_v6000,2,0.009073000000000001
nsys_all_include,update.query,cudaMemset_v3020,3,4.189027
nsys_base_delete,cub::DeviceRadixSort,cuKernelGetName,2,0.000494
nsys_base_delete,cub::DeviceRadixSort,cudaLaunchKernel_v7000,2,0.031022
nsys_base_delete,cub::DeviceReduce::Reduce,cuKernelGetName,2,0.000507
nsys_base_delete,cub::DeviceReduce::Reduce,cudaLaunchKernel_v7000,2,0.04118
nsys_base_delete,index.fix_leaf_flags,cudaMemcpy_v3020,2,0.024293000000000002
nsys_base_delete,index.padding_total,cudaFree_v3020,1,0.004125
nsys_base_delete,index.padding_total,cudaMalloc_v3020,1,0.003319
nsys_base_delete,index.padding_total,cudaMemcpy_v3020,5,0.051605
nsys_base_delete,index.total,cuKernelGetName,5,0.001585
nsys_base_delete,index.total,cudaDeviceSynchronize_v3020,5,5.090788
nsys_base_delete,index.total,cudaFree_v3020,4,0.026559
nsys_base_delete,index.total,cudaLaunchKernel_v7000,5,19.879445000000004
nsys_base_delete,index.total,cudaMallocManaged_v6000,2,0.009011
nsys_base_delete,index.total,cudaMalloc_v3020,7,0.16354200000000002
nsys_base_delete,index.total,cudaMemset_v3020,3,0.015419
nsys_base_delete,input.load,cuLibraryGetKernel,82,0.027690999999999993
nsys_base_delete,input.load,cuLibraryGetManaged,6,0.0015229999999999998
nsys_base_delete,input.load,cuLibraryLoadData,1,5.552648
nsys_base_delete,input.load,cuModuleGetLoadingMode,1,0.00455
nsys_base_delete,input.load,cudaMallocManaged_v6000,2,127.016367
nsys_base_delete,main.total,cudaEventCreateWithFlags_v3020,2,0.009961
nsys_base_delete,main.total,cudaEventDestroy_v3020,2,0.001899
nsys_base_delete,main.total,cudaEventRecord_v3020,2,0.017749
nsys_base_delete,main.total,cudaEventSynchronize_v3020,1,0.003994
nsys_base_delete,main.total,cudaFree_v3020,12,3.1954890000000002
nsys_base_delete,main.total,cudaMallocManaged_v6000,1,0.011471
nsys_base_delete,main.total,cudaMemcpyToSymbol_v3020,5,0.030528
nsys_base_delete,op.query,cuKernelGetName,1,0.000252
nsys_base_delete,op.query,cudaDeviceSynchronize_v3020,1,0.080958
nsys_base_delete,op.query,cudaLaunchKernel_v7000,1,0.01527
nsys_base_delete,query.result_workspace,cudaMallocManaged_v6000,2,0.008956
nsys_base_delete,query.workspace,cudaMallocManaged_v6000,4,0.01865
