run,scope,kernel,function,calls,gpu_ms,blocks,threads,registers
nsys_all_include,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.037312,[1],[256],[123]
nsys_all_include,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.002336,[1],[256],[30]
nsys_all_include,incomplete:op.query,mergeTotalResult,"mergeTotalResult(int, int *, int *, int *, float *, Object, float *, int *, int)",1,0.083904,[4],[512],[34]
nsys_all_include,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.5276389999999997,"[1, 10]",[512],[39]
nsys_all_include,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.511678,[4],[512],[16]
nsys_all_include,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,2.004313,"[1, 10]",[512],[40]
nsys_all_include,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",1,0.000864,[1],[128],[16]
nsys_all_include,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",1,0.00272,[1],[384],[64]
nsys_all_include,update.query,collectLeafNodesSingleQuery,"collectLeafNodesSingleQuery(int *, int *, int *, int *, int *, int, int *)",1,0.995964,[1],[512],[28]
nsys_all_include,update.query,compactResultSingleQuery,"compactResultSingleQuery(int, int *, int *, float *, int *, int *, float *)",1,0.082496,[4],[512],[26]
nsys_all_include,update.query,findNextRnn,"findNextRnn(int *, int, TN *, float, float *, int *, int, int *, int *, int *, char *, int *, int, float *, int *)",2,1.069852,[1],[512],[40]
nsys_all_include,update.query,initQnode,"initQnode(int *, int, int *)",1,0.896157,[1],[512],[17]
nsys_all_include,update.query,initRes,"initRes(int *, int)",1,0.000896,[4],[512],[16]
nsys_all_include,update.query,leafProcessRnnUpdate,"leafProcessRnnUpdate(int *, TN *, int *, int *, float *, int *, int *, float *, int *, float, int *, int *, char *, int *, int *)",1,2.008889,[100],[512],[40]
nsys_all_include,update.query,updatePnodeFlag,"updatePnodeFlag(int *, int, int, int *, int *)",2,0.0026880000000000003,[1],[512],[20]
nsys_base_delete,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.037248,[1],[256],[123]
nsys_base_delete,cub::DeviceReduce::Reduce,DeviceReduceSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300104_SM_1200::detail::reduce::policy_hub<int, unsigned int, cuda::std::__4::plus<int>>::Policy1000, int *, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)",2,0.002336,[1],[256],[30]
nsys_base_delete,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.571479,"[1, 10]",[512],[39]
nsys_base_delete,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.498782,[4],[512],[16]
nsys_base_delete,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,2.004856,"[1, 10]",[512],[40]
nsys_base_delete,op.query,mergeTotalResult,"mergeTotalResult(int, int *, int *, int *, float *, Object, float *, int *, int)",1,0.07664,[1],[512],[34]
nsys_base_delete,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",2,0.001696,[1],[128],[16]
nsys_base_delete,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",2,0.9367650000000001,[1],[384],[64]
nsys_base_delete,update.query,collectLeafNodesSingleQuery,"collectLeafNodesSingleQuery(int *, int *, int *, int *, int *, int, int *)",1,0.999548,[1],[512],[28]
nsys_base_delete,update.query,compactResultSingleQuery,"compactResultSingleQuery(int, int *, int *, float *, int *, int *, float *)",1,0.078368,[4],[512],[26]
nsys_base_delete,update.query,findNextRnn,"findNextRnn(int *, int, TN *, float, float *, int *, int, int *, int *, int *, char *, int *, int, float *, int *)",2,1.0726360000000001,[1],[512],[40]
nsys_base_delete,update.query,initQnode,"initQnode(int *, int, int *)",1,0.916861,[1],[512],[17]
nsys_base_delete,update.query,initRes,"initRes(int *, int)",1,0.000896,[4],[512],[16]
nsys_base_delete,update.query,leafProcessRnnUpdate,"leafProcessRnnUpdate(int *, TN *, int *, int *, float *, int *, int *, float *, int *, float, int *, int *, char *, int *, int *)",1,0.205055,[77],[512],[40]
nsys_base_delete,update.query,updatePnodeFlag,"updatePnodeFlag(int *, int, int, int *, int *)",2,0.002656,[1],[512],[20]
nsys_buffer_delete,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.036863999999999994,[1],[256],[123]
