run,scope,completed_calls,incomplete_calls,inclusive_host_ms
nsys_all_include,cub::DeviceRadixSort,2,0,0.046442000000000004
nsys_all_include,cub::DeviceReduce::Reduce,2,0,0.058289
nsys_all_include,index.cpu_leaf_sort,1,0,0.00161
nsys_all_include,index.fix_leaf_flags,1,0,0.031732
nsys_all_include,index.padding_total,1,0,1.082585
nsys_all_include,index.total,1,0,36.514907
nsys_all_include,input.load,1,0,673.570042
nsys_all_include,main.total,0,1,
nsys_all_include,op.query,0,1,
nsys_all_include,query.result_workspace,1,0,0.013429
nsys_all_include,query.workspace,1,0,0.074009
nsys_all_include,thrust::inclusive_scan,1,0,0.091785
nsys_all_include,thrust::reduce,2,0,0.161555
nsys_all_include,thrust::sort_by_key,2,0,0.21934800000000002
nsys_all_include,update.delete_prefix,1,0,0.100372
nsys_all_include,update.init_mirrors,1,0,0.042409
nsys_all_include,update.query,1,0,9.069965
nsys_all_include,update.total,0,1,
nsys_base_delete,cub::DeviceRadixSort,2,0,0.040172
nsys_base_delete,cub::DeviceReduce::Reduce,2,0,0.048953
nsys_base_delete,delete.cpu_lookup,1,0,0.001666
nsys_base_delete,index.cpu_leaf_sort,1,0,0.001917
nsys_base_delete,index.fix_leaf_flags,1,0,0.029846
nsys_base_delete,index.padding_total,1,0,1.08387
nsys_base_delete,index.total,1,0,32.273554
nsys_base_delete,input.load,1,0,588.415429
nsys_base_delete,main.total,1,0,639.54212
nsys_base_delete,op.delete,1,0,2.129649
nsys_base_delete,op.query,1,0,7.204466
nsys_base_delete,query.result_workspace,1,0,0.010779
nsys_base_delete,query.workspace,1,0,0.0635
nsys_base_delete,thrust::inclusive_scan,2,0,1.048602
nsys_base_delete,thrust::reduce,2,0,0.135507
nsys_base_delete,thrust::sort_by_key,2,0,0.193276
nsys_base_delete,update.delete_prefix,2,0,1.064351
nsys_base_delete,update.init_mirrors,1,0,0.03699
nsys_base_delete,update.query,1,0,7.038314
nsys_base_delete,update.total,1,0,14.60361
nsys_buffer_delete,cub::DeviceRadixSort,2,0,0.050268
nsys_buffer_delete,cub::DeviceReduce::Reduce,2,0,0.059147
nsys_buffer_delete,index.cpu_leaf_sort,1,0,0.00179
nsys_buffer_delete,index.fix_leaf_flags,1,0,0.032009
nsys_buffer_delete,index.padding_total,1,0,1.087418
nsys_buffer_delete,index.total,1,0,36.023267
nsys_buffer_delete,input.load,1,0,681.291825
nsys_buffer_delete,main.total,1,0,736.758863
nsys_buffer_delete,op.delete,2,0,5.253421
nsys_buffer_delete,op.insert,65,0,3.146081000000001
nsys_buffer_delete,thrust::inclusive_scan,2,0,1.947404
nsys_buffer_delete,thrust::reduce,2,0,0.16220400000000001
nsys_buffer_delete,thrust::sort_by_key,2,0,0.229742
nsys_buffer_delete,update.cpu_route,65,0,2.1793299999999998
nsys_buffer_delete,update.delete_direct,1,0,0.027206
nsys_buffer_delete,update.delete_prefix,2,0,0.92649
nsys_buffer_delete,update.init_mirrors,1,0,0.04165
nsys_buffer_delete,update.insert_total,65,0,3.054911
nsys_buffer_delete,update.total,1,0,14.053344
nsys_buffer_query,cub::DeviceRadixSort,2,0,0.05188
nsys_buffer_query,cub::DeviceReduce::Reduce,2,0,0.059117
nsys_buffer_query,index.cpu_leaf_sort,1,0,0.00189
nsys_buffer_query,index.fix_leaf_flags,1,0,0.031786
nsys_buffer_query,index.padding_total,1,0,1.07811
nsys_buffer_query,index.total,1,0,36.602384
nsys_buffer_query,input.load,1,0,677.235815
nsys_buffer_query,main.total,1,0,735.079357
nsys_buffer_query,op.insert,65,0,3.1497620000000004
nsys_buffer_query,op.query,1,0,6.947543
nsys_buffer_query,query.buffer_scan,1,0,0.368379
nsys_buffer_query,query.result_workspace,1,0,0.016387
nsys_buffer_query,query.workspace,1,0,0.098929
nsys_buffer_query,thrust::inclusive_scan,1,0,0.152952
nsys_buffer_query,thrust::reduce,2,0,0.16883700000000001
nsys_buffer_query,thrust::sort_by_key,2,0,0.227611
nsys_buffer_query,update.cpu_route,65,0,2.1766390000000007
nsys_buffer_query,update.delete_prefix,1,0,0.165514
nsys_buffer_query,update.init_mirrors,1,0,0.043702
nsys_buffer_query,update.insert_total,65,0,3.0585019999999994
nsys_buffer_query,update.query,1,0,6.133686
nsys_buffer_query,update.total,1,0,15.504646
nsys_direct_delete,cub::DeviceRadixSort,2,0,0.049418
nsys_direct_delete,cub::DeviceReduce::Reduce,2,0,0.060466000000000006
nsys_direct_delete,index.cpu_leaf_sort,1,0,0.001984
nsys_direct_delete,index.fix_leaf_flags,1,0,0.029896
nsys_direct_delete,index.padding_total,1,0,1.075652
nsys_direct_delete,index.total,1,0,36.366472
nsys_direct_delete,input.load,1,0,676.3404
nsys_direct_delete,main.total,1,0,733.042413
nsys_direct_delete,op.delete,1,0,2.144316
nsys_direct_delete,op.insert,1,0,2.151972
nsys_direct_delete,op.query,1,0,5.294026
nsys_direct_delete,query.result_workspace,1,0,0.015124
nsys_direct_delete,query.workspace,1,0,0.089977
nsys_direct_delete,thrust::inclusive_scan,1,0,0.994763
nsys_direct_delete,thrust::reduce,2,0,0.163826
nsys_direct_delete,thrust::sort_by_key,2,0,0.228305
nsys_direct_delete,update.cpu_route,1,0,2.107168
nsys_direct_delete,update.delete_direct,1,0,0.028929
nsys_direct_delete,update.delete_prefix,2,0,1.008431
nsys_direct_delete,update.init_mirrors,1,0,0.038204
nsys_direct_delete,update.insert_total,1,0,2.147652
nsys_direct_delete,update.query,1,0,5.15177
nsys_direct_delete,update.total,1,0,14.884127
nsys_direct_insert,cub::DeviceRadixSort,2,0,0.047134
nsys_direct_insert,cub::DeviceReduce::Reduce,2,0,0.056108
nsys_direct_insert,index.cpu_leaf_sort,1,0,0.00223
nsys_direct_insert,index.fix_leaf_flags,1,0,0.032076
nsys_direct_insert,index.padding_total,1,0,1.078067
nsys_direct_insert,index.total,1,0,36.198837
nsys_direct_insert,input.load,1,0,676.357944
nsys_direct_insert,main.total,1,0,732.734964
nsys_direct_insert,op.insert,1,0,2.144017
nsys_direct_insert,op.query,1,0,7.238065
nsys_direct_insert,query.result_workspace,1,0,0.013903
nsys_direct_insert,query.workspace,1,0,0.074805
nsys_direct_insert,thrust::inclusive_scan,1,0,0.092534
nsys_direct_insert,thrust::reduce,2,0,0.15650399999999998
nsys_direct_insert,thrust::sort_by_key,2,0,0.21230000000000002
nsys_direct_insert,update.cpu_route,1,0,2.108897
nsys_direct_insert,update.delete_prefix,1,0,0.100812
nsys_direct_insert,update.init_mirrors,1,0,0.041606
nsys_direct_insert,update.insert_total,1,0,2.14024
nsys_direct_insert,update.query,1,0,7.003464
nsys_direct_insert,update.total,1,0,14.656714
nsys_query_only,cub::DeviceRadixSort,2,0,0.051002
nsys_query_only,cub::DeviceReduce::Reduce,2,0,0.064042
nsys_query_only,index.cpu_leaf_sort,1,0,0.002314
nsys_query_only,index.fix_leaf_flags,1,0,0.032009
nsys_query_only,index.padding_total,1,0,1.081857
nsys_query_only,index.total,1,0,36.223447
nsys_query_only,input.load,1,0,687.940868
nsys_query_only,main.total,1,0,765.176058
nsys_query_only,op.query,8,0,29.839450999999997
nsys_query_only,query.result_workspace,8,0,0.022744000000000004
nsys_query_only,query.workspace,8,0,0.08743999999999999
nsys_query_only,thrust::inclusive_scan,1,0,0.094439
nsys_query_only,thrust::reduce,2,0,0.168669
nsys_query_only,thrust::sort_by_key,2,0,0.22674
nsys_query_only,update.delete_prefix,8,0,0.111614
nsys_query_only,update.init_mirrors,1,0,0.041236
nsys_query_only,update.query,8,0,26.744660000000003
nsys_query_only,update.total,1,0,35.472091
nsys_rebuild,cub::DeviceRadixSort,5,0,0.07719000000000001
nsys_rebuild,cub::DeviceReduce::Reduce,5,0,0.084468
nsys_rebuild,index.cpu_leaf_sort,2,0,0.007212
nsys_rebuild,index.fix_leaf_flags,2,0,0.084485
nsys_rebuild,index.padding_total,2,0,1.221885
nsys_rebuild,index.total,2,0,42.194536
nsys_rebuild,input.load,1,0,681.399446
nsys_rebuild,main.total,0,1,
nsys_rebuild,op.insert,66,0,19.5714
nsys_rebuild,op.query,0,1,
nsys_rebuild,query.result_workspace,1,0,0.016801
nsys_rebuild,query.workspace,1,0,0.221634
nsys_rebuild,rebuild.workspace,1,0,0.011766
nsys_rebuild,thrust::inclusive_scan,2,0,0.887388
nsys_rebuild,thrust::reduce,5,0,0.297031
nsys_rebuild,thrust::sort_by_key,5,0,0.41621400000000003
nsys_rebuild,update.cpu_route,66,0,2.182663
nsys_rebuild,update.delete_prefix,2,0,0.9040750000000001
nsys_rebuild,update.init_mirrors,2,0,0.091547
nsys_rebuild,update.insert_total,66,0,3.1561180000000006
nsys_rebuild,update.query,1,0,2.785198
nsys_rebuild,update.total,0,1,
