file,line,kind,operation,scope
include/file.cuh,38,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,55,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,58,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,59,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,116,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,152,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/file.cuh,247,cuda_boundary,cudaMallocManaged,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,23,cuda_boundary,cudaEventCreate,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,24,cuda_boundary,cudaEventCreate,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,28,cuda_boundary,cudaEventDestroy,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,29,cuda_boundary,cudaEventDestroy,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,37,cuda_boundary,cudaEventRecord,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,46,cuda_boundary,cudaEventRecord,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,57,cuda_boundary,cudaEventSynchronize,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,58,cuda_boundary,cudaEventElapsedTime,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,126,cuda_boundary,cudaEventCreate,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,127,cuda_boundary,cudaEventCreate,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,131,cuda_boundary,cudaEventDestroy,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,132,cuda_boundary,cudaEventDestroy,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,136,cuda_boundary,cudaEventRecord,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,140,cuda_boundary,cudaEventRecord,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,145,cuda_boundary,cudaEventSynchronize,pinned native/conditional/legacy; not proof of runtime execution
include/gpu_timer.cuh,146,cuda_boundary,cudaEventElapsedTime,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,44,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,45,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,47,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,64,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,65,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,166,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,170,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,197,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,223,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,238,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/incremental_insert.cuh,243,cuda_boundary,cudaMemcpy,pinned native/conditional/legacy; not proof of runtime execution
include/residual_tuner.cuh,510,cuda_boundary,cudaMemcpyToSymbol,pinned native/conditional/legacy; not proof of runtime execution
include/residual_tuner.cuh,519,cuda_boundary,cudaMemcpyToSymbol,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,806,launch,initQnode,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,816,launch,findNextRnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,823,launch,updatePnodeFlag,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,851,launch,initRes,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,856,launch,getQnodeCount,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,865,launch,mergeLeafNode,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,872,launch,leafProcessRnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,883,launch,getQresultCount,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,888,launch,mergeResultRnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,956,launch,initQnode,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,958,launch,initDisk,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,972,launch,updateCnodeFlag,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,981,launch,getQpDis,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,987,launch,updateDisk,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,991,launch,findNextKnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,998,launch,updatePnodeFlag,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1023,launch,initRes,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1028,launch,getQnodeCount,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1037,launch,mergeLeafNode,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1044,launch,leafProcessKnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1057,launch,getQresultCount,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1062,launch,mergeResultKnn,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,1072,launch,getKnnResult,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,602,thrust,thrust::reduce,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,617,thrust,thrust::reduce,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,842,thrust,thrust::reduce,pinned native/conditional/legacy; not proof of runtime execution
include/search.cuh,862,thrust,thrust::exclusive_scan,pinned native/conditional/legacy; not proof of runtime execution
